,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
0,patch_0_0,0,256,0,256,65536,MSAVI,0.0,65536,,,,
0,patch_0_0,0,256,0,256,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_1,0,256,256,512,65536,MSAVI,0.0,65536,,,,
0,patch_0_1,0,256,256,512,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_36,0,256,9216,9472,65536,MSAVI,0.0,65536,,,,
0,patch_0_36,0,256,9216,9472,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_37,0,256,9472,9728,65536,MSAVI,0.0,65536,,,,
0,patch_0_37,0,256,9472,9728,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_3,256,512,768,1024,65536,MSAVI,-0.19921875,41974,,,,
0,patch_1_3,256,512,768,1024,65536,NDVI,-0.68359375,23509,11297,0.017713931908571456,11338,0.026126787193030465
0,patch_1_4,256,512,1024,1280,65536,MSAVI,-0.22265625,40189,,,,
0,patch_1_4,256,512,1024,1280,65536,NDVI,-0.70703125,25126,10120,0.016388592359866394,11424,0.022779411855816
0,patch_1_5,256,512,1280,1536,65536,MSAVI,-0.20703125,36366,,,,
0,patch_1_5,256,512,1280,1536,65536,NDVI,-0.74609375,28979,11122,0.009921735266207363,14619,0.019608267710375077
0,patch_1_6,256,512,1536,1792,65536,MSAVI,-0.41796875,36698,,,,
0,patch_1_6,256,512,1536,1792,65536,NDVI,-0.79296875,12695,11103,0.010450587411862083,14474,0.020886495911060815
0,patch_1_7,256,512,1792,2048,65536,MSAVI,-0.18359375,44726,,,,
0,patch_1_7,256,512,1792,2048,65536,NDVI,-0.69140625,12804,11148,0.030538382902836364,65536,0.03927673801612094
0,patch_1_8,256,512,2048,2304,65536,MSAVI,-0.36328125,37527,,,,
0,patch_1_8,256,512,2048,2304,65536,NDVI,-0.75390625,11631,13333,0.015444374259770355,16169,0.02536788161569878
0,patch_1_9,256,512,2304,2560,65536,MSAVI,-0.23046875,34129,,,,
0,patch_1_9,256,512,2304,2560,65536,NDVI,-0.74609375,11894,10361,0.005759967583816666,17034,0.017709369166451078
0,patch_1_10,256,512,2560,2816,65536,MSAVI,-0.26953125,37067,,,,
0,patch_1_10,256,512,2560,2816,65536,NDVI,-0.70703125,10381,11695,0.010810812285901555,14806,0.019717706951024705
0,patch_1_11,256,512,2816,3072,65536,MSAVI,-0.12890625,43669,,,,
0,patch_1_11,256,512,2816,3072,65536,NDVI,-0.70703125,18240,8332,0.019853923820234556,9519,0.028338381624164077
0,patch_1_12,256,512,3072,3328,65536,MSAVI,-0.24609375,39457,,,,
0,patch_1_12,256,512,3072,3328,65536,NDVI,-0.69140625,10720,8996,0.014884014599954393,12052,0.024380504671507847
0,patch_1_13,256,512,3328,3584,65536,MSAVI,-0.25390625,33680,,,,
0,patch_1_13,256,512,3328,3584,65536,NDVI,-0.76171875,14738,10458,0.005337808963763041,15848,0.013926147175771036
0,patch_1_14,256,512,3584,3840,65536,MSAVI,-0.14453125,38147,,,,
0,patch_1_14,256,512,3584,3840,65536,NDVI,-0.79296875,15148,9967,0.012299411195417359,11818,0.018714089323022348
0,patch_1_15,256,512,3840,4096,65536,MSAVI,-0.18359375,35057,,,,
0,patch_1_15,256,512,3840,4096,65536,NDVI,-0.74609375,12085,16203,0.011567555224727494,17494,0.018785606523026965
0,patch_1_16,256,512,4096,4352,65536,MSAVI,-0.27734375,36752,,,,
0,patch_1_16,256,512,4096,4352,65536,NDVI,-0.74609375,13847,8125,0.010731170493010256,12411,0.01758690140762692
0,patch_1_17,256,512,4352,4608,65536,MSAVI,-0.16796875,36146,,,,
0,patch_1_17,256,512,4352,4608,65536,NDVI,-0.79296875,16356,11283,0.008901303446400083,15617,0.017546722853389762
0,patch_1_18,256,512,4608,4864,65536,MSAVI,-0.08984375,32129,,,,
0,patch_1_18,256,512,4608,4864,65536,NDVI,-0.75390625,20892,11348,0.002795604328114737,19579,0.013096207456586684
0,patch_1_19,256,512,4864,5120,65536,MSAVI,-0.37890625,35378,,,,
0,patch_1_19,256,512,4864,5120,65536,NDVI,-0.79296875,16988,6979,0.006600554281333021,10780,0.014238040405785302
0,patch_1_20,256,512,5120,5376,65536,MSAVI,-0.30859375,42861,,,,
0,patch_1_20,256,512,5120,5376,65536,NDVI,-0.78515625,20326,6016,0.018971065335008197,8027,0.024803263329179953
0,patch_1_21,256,512,5376,5632,65536,MSAVI,-0.32421875,43110,,,,
0,patch_1_21,256,512,5376,5632,65536,NDVI,-0.69921875,7925,9291,0.020845375285045653,10183,0.028725676715152748
0,patch_1_22,256,512,5632,5888,65536,MSAVI,-0.44921875,32812,,,,
0,patch_1_22,256,512,5632,5888,65536,NDVI,-0.83203125,11293,13112,0.003727950135903546,21206,0.01797204728702617
0,patch_1_23,256,512,5888,6144,65536,MSAVI,-0.19921875,26841,,,,
0,patch_1_23,256,512,5888,6144,65536,NDVI,-0.73828125,18747,756,-0.016249353239307374,65536,0.019460086363177087
0,patch_1_24,256,512,6144,6400,65536,MSAVI,-0.41015625,38573,,,,
0,patch_1_24,256,512,6144,6400,65536,NDVI,-0.65234375,4266,13760,0.015159543764405647,16295,0.027229729212497278
0,patch_1_25,256,512,6400,6656,65536,MSAVI,-0.30859375,35344,,,,
0,patch_1_25,256,512,6400,6656,65536,NDVI,-0.64453125,5925,14340,0.009372030813111581,17795,0.020255436485250272
0,patch_1_26,256,512,6656,6912,65536,MSAVI,-0.26953125,32801,,,,
0,patch_1_26,256,512,6656,6912,65536,NDVI,-0.78515625,15205,14413,0.00620549759347544,19254,0.017518368789384453
0,patch_1_27,256,512,6912,7168,65536,MSAVI,-0.28515625,36611,,,,
0,patch_1_27,256,512,6912,7168,65536,NDVI,-0.75390625,10665,7118,0.008246629338589245,11433,0.019318799801358894
0,patch_1_28,256,512,7168,7424,65536,MSAVI,-0.29296875,45676,,,,
0,patch_1_28,256,512,7168,7424,65536,NDVI,-0.67578125,10943,4071,0.021590057093876736,4571,0.02736776690098261
0,patch_1_29,256,512,7424,7680,65536,MSAVI,-0.11328125,42497,,,,
0,patch_1_29,256,512,7424,7680,65536,NDVI,-0.62109375,19165,5510,0.016714895820780118,6047,0.025547171664777657
0,patch_1_30,256,512,7680,7936,65536,MSAVI,0.01953125,41842,,,,
0,patch_1_30,256,512,7680,7936,65536,NDVI,-0.61328125,23687,8814,0.016970206403894322,10321,0.028044945480717703
0,patch_1_31,256,512,7936,8192,65536,MSAVI,-0.11328125,40339,,,,
0,patch_1_31,256,512,7936,8192,65536,NDVI,-0.76171875,24521,11678,0.018469951751692082,12161,0.025223957302468764
0,patch_1_32,256,512,8192,8448,65536,MSAVI,-0.25390625,32457,,,,
0,patch_1_32,256,512,8192,8448,65536,NDVI,-0.78515625,20476,12968,0.004469198043479006,19215,0.014577554632147882
0,patch_1_33,256,512,8448,8704,65536,MSAVI,-0.19140625,31993,,,,
0,patch_1_33,256,512,8448,8704,65536,NDVI,-0.75390625,24631,10014,0.0018691124738541287,17472,0.010574782282331219
0,patch_1_34,256,512,8704,8960,65536,MSAVI,-0.16796875,35214,,,,
0,patch_1_34,256,512,8704,8960,65536,NDVI,-0.73046875,23339,9720,0.008304118923814718,13003,0.015257445518564061
0,patch_1_37,256,512,9472,9728,65536,MSAVI,0.0,65536,,,,
0,patch_1_37,256,512,9472,9728,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_1,512,768,256,512,65536,MSAVI,-0.23828125,36092,,,,
0,patch_2_1,512,768,256,512,65536,NDVI,-0.72265625,12392,8988,0.007550133242966189,12083,0.01565348729635488
0,patch_2_2,512,768,512,768,65536,MSAVI,-0.19140625,35927,,,,
0,patch_2_2,512,768,512,768,65536,NDVI,-0.71484375,12067,10262,0.00827707904156691,14448,0.01736829111358354
0,patch_2_3,512,768,768,1024,65536,MSAVI,-0.18359375,37059,,,,
0,patch_2_3,512,768,768,1024,65536,NDVI,-0.76953125,21656,12420,0.012587254350646254,14195,0.019027878529224274
0,patch_2_4,512,768,1024,1280,65536,MSAVI,-0.37890625,45217,,,,
0,patch_2_4,512,768,1024,1280,65536,NDVI,-0.73828125,20318,6947,0.022130357763980674,7814,0.028663213921955727
0,patch_2_5,512,768,1280,1536,65536,MSAVI,-0.16796875,36967,,,,
0,patch_2_5,512,768,1280,1536,65536,NDVI,-0.76953125,28251,10375,0.010920144965435807,12703,0.01859744126645177
0,patch_2_6,512,768,1536,1792,65536,MSAVI,-0.28515625,33889,,,,
0,patch_2_6,512,768,1536,1792,65536,NDVI,-0.75390625,17562,12238,0.004218919705626545,19767,0.016511379733659765
0,patch_2_7,512,768,1792,2048,65536,MSAVI,-0.41796875,35846,,,,
0,patch_2_7,512,768,1792,2048,65536,NDVI,-0.80859375,12004,12498,0.008973654125868202,16605,0.016801610836566228
0,patch_2_8,512,768,2048,2304,65536,MSAVI,-0.32421875,36485,,,,
0,patch_2_8,512,768,2048,2304,65536,NDVI,-0.74609375,18168,15575,0.017541140842108643,16648,0.022958967619803594
0,patch_2_9,512,768,2304,2560,65536,MSAVI,-0.20703125,35790,,,,
0,patch_2_9,512,768,2304,2560,65536,NDVI,-0.77734375,11832,12435,0.009819463008716972,17034,0.018977921058997954
0,patch_2_10,512,768,2560,2816,65536,MSAVI,-0.29296875,40081,,,,
0,patch_2_10,512,768,2560,2816,65536,NDVI,-0.67578125,12559,12671,0.017556249988997075,12929,0.02521057351735903
0,patch_2_11,512,768,2816,3072,65536,MSAVI,-0.28515625,50062,,,,
0,patch_2_11,512,768,2816,3072,65536,NDVI,-0.67578125,14724,7921,0.028675220886755226,7709,0.0401027168848585
0,patch_2_12,512,768,3072,3328,65536,MSAVI,-0.37890625,42341,,,,
0,patch_2_12,512,768,3072,3328,65536,NDVI,-0.72265625,10517,10911,0.0189369534736388,11292,0.02795015783878657
0,patch_2_13,512,768,3328,3584,65536,MSAVI,-0.21484375,37046,,,,
0,patch_2_13,512,768,3328,3584,65536,NDVI,-0.72265625,13730,10046,0.01020253174744215,14104,0.019298846853240875
0,patch_2_14,512,768,3584,3840,65536,MSAVI,-0.26953125,31738,,,,
0,patch_2_14,512,768,3584,3840,65536,NDVI,-0.72265625,11804,13024,0.0017554619625841095,21493,0.012374645270969598
0,patch_2_15,512,768,3840,4096,65536,MSAVI,-0.21484375,31337,,,,
0,patch_2_15,512,768,3840,4096,65536,NDVI,-0.78515625,15621,10779,0.0006468618746868215,22628,0.014732105977011745
0,patch_2_16,512,768,4096,4352,65536,MSAVI,-0.26953125,34270,,,,
0,patch_2_16,512,768,4096,4352,65536,NDVI,-0.78515625,15353,11548,0.007456770699409754,14849,0.016293108514913196
0,patch_2_17,512,768,4352,4608,65536,MSAVI,-0.08203125,34011,,,,
0,patch_2_17,512,768,4352,4608,65536,NDVI,-0.78515625,23148,14846,0.006886555064354261,20747,0.017123160476222615
0,patch_2_18,512,768,4608,4864,65536,MSAVI,-0.23046875,33881,,,,
0,patch_2_18,512,768,4608,4864,65536,NDVI,-0.77734375,19581,12187,0.008753210553972879,16328,0.015834598495061386
0,patch_2_19,512,768,4864,5120,65536,MSAVI,-0.17578125,33322,,,,
0,patch_2_19,512,768,4864,5120,65536,NDVI,-0.78515625,15457,10891,0.004629659107313555,17066,0.012677408832738296
0,patch_2_20,512,768,5120,5376,65536,MSAVI,-0.19140625,33364,,,,
0,patch_2_20,512,768,5120,5376,65536,NDVI,-0.74609375,17182,11984,0.005204964734674494,18410,0.015023077627272369
0,patch_2_21,512,768,5376,5632,65536,MSAVI,-0.17578125,34164,,,,
0,patch_2_21,512,768,5376,5632,65536,NDVI,-0.75390625,16008,11706,0.007278953417471229,15776,0.014373823163019633
0,patch_2_22,512,768,5632,5888,65536,MSAVI,-0.33203125,31420,,,,
0,patch_2_22,512,768,5632,5888,65536,NDVI,-0.81640625,15285,8736,0.0024783102614277797,17240,0.012549468346955445
0,patch_2_23,512,768,5888,6144,65536,MSAVI,-0.33984375,35568,,,,
0,patch_2_23,512,768,5888,6144,65536,NDVI,-0.76953125,13762,15806,0.011391843088699116,18643,0.020754013556463807
0,patch_2_24,512,768,6144,6400,65536,MSAVI,-0.08203125,38211,,,,
0,patch_2_24,512,768,6144,6400,65536,NDVI,-0.76953125,13649,11244,0.011712853628827402,14573,0.024036337523842044
0,patch_2_25,512,768,6400,6656,65536,MSAVI,-0.38671875,37366,,,,
0,patch_2_25,512,768,6400,6656,65536,NDVI,-0.77734375,8449,11075,0.012673912675497834,14842,0.023027647431141163
0,patch_2_26,512,768,6656,6912,65536,MSAVI,-0.28515625,39850,,,,
0,patch_2_26,512,768,6656,6912,65536,NDVI,-0.66796875,9492,13264,0.01803371745403809,14138,0.02733023101817686
0,patch_2_27,512,768,6912,7168,65536,MSAVI,-0.24609375,37396,,,,
0,patch_2_27,512,768,6912,7168,65536,NDVI,-0.76171875,12076,9824,0.012120794752868758,12528,0.020308921594554274
0,patch_2_28,512,768,7168,7424,65536,MSAVI,-0.23046875,45373,,,,
0,patch_2_28,512,768,7168,7424,65536,NDVI,-0.63671875,10170,3041,0.02279602918682383,3551,0.027964802328691446
0,patch_2_29,512,768,7424,7680,65536,MSAVI,-0.08203125,40580,,,,
0,patch_2_29,512,768,7424,7680,65536,NDVI,-0.62890625,24155,8596,0.015125916202624351,9880,0.02359391380471504
0,patch_2_30,512,768,7680,7936,65536,MSAVI,-0.15234375,41850,,,,
0,patch_2_30,512,768,7680,7936,65536,NDVI,-0.62109375,20915,18548,0.022083528413646178,19734,0.036283419647709036
0,patch_2_31,512,768,7936,8192,65536,MSAVI,-0.25390625,36512,,,,
0,patch_2_31,512,768,7936,8192,65536,NDVI,-0.76953125,16447,12591,0.012226274469232329,14601,0.02056685933889013
0,patch_2_32,512,768,8192,8448,65536,MSAVI,-0.36328125,33233,,,,
0,patch_2_32,512,768,8192,8448,65536,NDVI,-0.77734375,11553,12145,0.005626889581236666,17018,0.015355413309862231
0,patch_2_33,512,768,8448,8704,65536,MSAVI,-0.15234375,36249,,,,
0,patch_2_33,512,768,8448,8704,65536,NDVI,-0.68359375,8483,5522,0.006526971983639801,10057,0.015774660616844294
0,patch_2_34,512,768,8704,8960,65536,MSAVI,-0.08203125,33323,,,,
0,patch_2_34,512,768,8704,8960,65536,NDVI,-0.70703125,14768,8683,0.003847075403082101,15858,0.013174827800495309
0,patch_2_35,512,768,8960,9216,65536,MSAVI,-0.10546875,35315,,,,
0,patch_2_35,512,768,8960,9216,65536,NDVI,-0.69921875,15835,8921,0.00825031298261264,12267,0.013805130054595244
0,patch_2_36,512,768,9216,9472,65317,MSAVI,-0.16796875,34609,,,,
0,patch_2_36,512,768,9216,9472,65317,NDVI,-0.73046875,18076,7820,0.005668826483405748,13085,0.01415090024258181
0,patch_3_1,768,1024,256,512,65536,MSAVI,-0.16015625,37656,,,,
0,patch_3_1,768,1024,256,512,65536,NDVI,-0.67578125,7752,12372,0.010545463352313544,14004,0.019974068028650066
0,patch_3_2,768,1024,512,768,65536,MSAVI,-0.14453125,33196,,,,
0,patch_3_2,768,1024,512,768,65536,NDVI,-0.74609375,13249,12788,0.0052876178173282,19090,0.014447419591890692
0,patch_3_3,768,1024,768,1024,65536,MSAVI,-0.10546875,37530,,,,
0,patch_3_3,768,1024,768,1024,65536,NDVI,-0.72265625,10997,11917,0.012037691040628823,14339,0.020167216035786167
0,patch_3_4,768,1024,1024,1280,65536,MSAVI,-0.32421875,38618,,,,
0,patch_3_4,768,1024,1024,1280,65536,NDVI,-0.77734375,21230,15796,0.0167495394150321,16627,0.022781426320634096
0,patch_3_5,768,1024,1280,1536,65536,MSAVI,-0.38671875,34235,,,,
0,patch_3_5,768,1024,1280,1536,65536,NDVI,-0.81640625,19535,14165,0.0070827496813040125,18174,0.015339271475679483
0,patch_3_6,768,1024,1536,1792,65536,MSAVI,-0.19921875,34276,,,,
0,patch_3_6,768,1024,1536,1792,65536,NDVI,-0.72265625,17848,10982,0.0056479341811921935,16563,0.01630811935599219
0,patch_3_7,768,1024,1792,2048,65536,MSAVI,-0.10546875,31564,,,,
0,patch_3_7,768,1024,1792,2048,65536,NDVI,-0.72265625,22056,13508,0.0021171420534192853,23466,0.01323650425669462
0,patch_3_8,768,1024,2048,2304,65536,MSAVI,-0.24609375,38317,,,,
0,patch_3_8,768,1024,2048,2304,65536,NDVI,-0.75390625,14907,14785,0.018182011054055647,15204,0.02325576452282177
0,patch_3_9,768,1024,2304,2560,65536,MSAVI,-0.30859375,36117,,,,
0,patch_3_9,768,1024,2304,2560,65536,NDVI,-0.75390625,14272,12284,0.00863981604110059,15903,0.01826279316861601
0,patch_3_10,768,1024,2560,2816,65536,MSAVI,-0.19140625,37429,,,,
0,patch_3_10,768,1024,2560,2816,65536,NDVI,-0.71484375,14202,11630,0.010362462349079726,15029,0.020676773611117805
0,patch_3_11,768,1024,2816,3072,65536,MSAVI,-0.12890625,35705,,,,
0,patch_3_11,768,1024,2816,3072,65536,NDVI,-0.73046875,13677,10319,0.007331838709774469,14962,0.01595715246406998
0,patch_3_12,768,1024,3072,3328,65536,MSAVI,-0.26171875,37893,,,,
0,patch_3_12,768,1024,3072,3328,65536,NDVI,-0.74609375,15583,8355,0.011336629043541685,11071,0.017980473359944515
0,patch_3_13,768,1024,3328,3584,65536,MSAVI,-0.17578125,37868,,,,
0,patch_3_13,768,1024,3328,3584,65536,NDVI,-0.74609375,23282,10251,0.011517182167995549,12299,0.018348135758931572
0,patch_3_14,768,1024,3584,3840,65536,MSAVI,-0.23828125,35528,,,,
0,patch_3_14,768,1024,3584,3840,65536,NDVI,-0.79296875,13415,12309,0.00910254852110029,16404,0.016929903639230692
0,patch_3_15,768,1024,3840,4096,65536,MSAVI,-0.37890625,33287,,,,
0,patch_3_15,768,1024,3840,4096,65536,NDVI,-0.80859375,12528,14715,0.00603167219150047,19303,0.01738553352397712
0,patch_3_16,768,1024,4096,4352,65536,MSAVI,-0.26953125,36068,,,,
0,patch_3_16,768,1024,4096,4352,65536,NDVI,-0.71484375,14095,11725,0.008845494127491776,16170,0.014708956088271774
0,patch_3_17,768,1024,4352,4608,65536,MSAVI,-0.21484375,29059,,,,
0,patch_3_17,768,1024,4352,4608,65536,NDVI,-0.80859375,21918,13333,-0.0006606046264189536,27592,0.01182502722548004
0,patch_3_18,768,1024,4608,4864,65536,MSAVI,-0.25390625,31712,,,,
0,patch_3_18,768,1024,4608,4864,65536,NDVI,-0.79296875,16737,11721,0.0014090776033899022,21649,0.012950021159322006
0,patch_3_19,768,1024,4864,5120,65536,MSAVI,-0.16015625,32514,,,,
0,patch_3_19,768,1024,4864,5120,65536,NDVI,-0.74609375,19739,14602,0.004382925363710238,21733,0.015563966713467409
0,patch_3_20,768,1024,5120,5376,65536,MSAVI,-0.27734375,38143,,,,
0,patch_3_20,768,1024,5120,5376,65536,NDVI,-0.75390625,13007,9281,0.011839443098431324,11531,0.01840413099326249
0,patch_3_21,768,1024,5376,5632,65536,MSAVI,-0.06640625,33751,,,,
0,patch_3_21,768,1024,5376,5632,65536,NDVI,-0.69921875,10741,12159,0.007889159818157077,17153,0.016810691547324758
0,patch_3_22,768,1024,5632,5888,65536,MSAVI,-0.21484375,33084,,,,
0,patch_3_22,768,1024,5632,5888,65536,NDVI,-0.73828125,12611,11368,0.005796782466541861,17373,0.015417046842103016
0,patch_3_23,768,1024,5888,6144,65536,MSAVI,-0.32421875,32562,,,,
0,patch_3_23,768,1024,5888,6144,65536,NDVI,-0.76171875,9048,10409,0.004254448501401498,18467,0.01402235118423742
0,patch_3_24,768,1024,6144,6400,65536,MSAVI,-0.30078125,36322,,,,
0,patch_3_24,768,1024,6144,6400,65536,NDVI,-0.73046875,12401,12993,0.009252486509865376,16785,0.021037616461680092
0,patch_3_25,768,1024,6400,6656,65536,MSAVI,-0.31640625,34058,,,,
0,patch_3_25,768,1024,6400,6656,65536,NDVI,-0.80078125,12594,17905,0.011465950817542453,20983,0.0205195129083513
0,patch_3_26,768,1024,6656,6912,65536,MSAVI,-0.28515625,34528,,,,
0,patch_3_26,768,1024,6656,6912,65536,NDVI,-0.77734375,13871,12500,0.008431199828085212,16555,0.017151903237637378
0,patch_3_27,768,1024,6912,7168,65536,MSAVI,-0.17578125,37736,,,,
0,patch_3_27,768,1024,6912,7168,65536,NDVI,-0.74609375,16443,7254,0.012066702894202724,10211,0.020340369459396435
0,patch_3_28,768,1024,7168,7424,65536,MSAVI,-0.22265625,40446,,,,
