,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
0,patch_0_0,0,256,0,256,65536,MSAVI,0.0,65536,,,,
0,patch_0_0,0,256,0,256,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_1,0,256,256,512,65536,MSAVI,0.0,65536,,,,
0,patch_0_1,0,256,256,512,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_2,0,256,512,768,65536,MSAVI,-0.12890625,63483,,,,
0,patch_0_2,0,256,512,768,65536,NDVI,-0.44140625,1917,0,0.0,0,0.009808042386020944
0,patch_0_3,0,256,768,1024,65536,MSAVI,-0.16015625,55551,,,,
0,patch_0_3,0,256,768,1024,65536,NDVI,-0.46484375,9380,0,0.0,0,0.009808042386020944
0,patch_0_4,0,256,1024,1280,65536,MSAVI,-0.35546875,45742,,,,
0,patch_0_4,0,256,1024,1280,65536,NDVI,-0.56640625,18803,0,0.0,0,0.009808042386020944
0,patch_0_5,0,256,1280,1536,65536,MSAVI,-0.37109375,40369,,,,
0,patch_0_5,0,256,1280,1536,65536,NDVI,-0.62890625,25164,0,0.0,0,0.009808042386020944
0,patch_0_6,0,256,1536,1792,65536,MSAVI,-0.33984375,42385,,,,
0,patch_0_6,0,256,1536,1792,65536,NDVI,-0.99609375,23151,0,0.0,0,0.009808042386020944
0,patch_0_7,0,256,1792,2048,65536,MSAVI,-0.32421875,36719,,,,
0,patch_0_7,0,256,1792,2048,65536,NDVI,-0.99609375,28817,0,0.0,0,0.009808042386020944
0,patch_0_8,0,256,2048,2304,65536,MSAVI,-0.13671875,43696,,,,
0,patch_0_8,0,256,2048,2304,65536,NDVI,-0.55078125,21838,0,0.0,0,0.009808042386020944
0,patch_0_15,0,256,3840,4096,65536,MSAVI,-0.11328125,57994,,,,
0,patch_0_15,0,256,3840,4096,65536,NDVI,-0.60546875,4228,0,0.0,0,0.009808042386020944
0,patch_0_16,0,256,4096,4352,65536,MSAVI,-0.42578125,47740,,,,
0,patch_0_16,0,256,4096,4352,65536,NDVI,-0.60546875,484,0,0.0,0,0.009808042386020944
0,patch_0_17,0,256,4352,4608,65536,MSAVI,-0.20703125,49876,,,,
0,patch_0_17,0,256,4352,4608,65536,NDVI,-0.58984375,10329,0,0.0,0,0.009808042386020944
0,patch_0_18,0,256,4608,4864,65536,MSAVI,-0.08203125,47680,,,,
0,patch_0_18,0,256,4608,4864,65536,NDVI,-0.54296875,13829,0,0.0,0,0.009808042386020944
0,patch_0_19,0,256,4864,5120,65536,MSAVI,-0.08984375,47328,,,,
0,patch_0_19,0,256,4864,5120,65536,NDVI,-0.59765625,9534,0,0.0,0,0.009808042386020944
0,patch_0_20,0,256,5120,5376,65536,MSAVI,0.05078125,57215,,,,
0,patch_0_20,0,256,5120,5376,65536,NDVI,-0.51171875,6223,0,0.0,0,0.009808042386020944
0,patch_0_21,0,256,5376,5632,65536,MSAVI,0.29296875,43031,,,,
0,patch_0_21,0,256,5376,5632,65536,NDVI,-0.68359375,19015,0,0.0,0,0.009808042386020944
0,patch_0_22,0,256,5632,5888,65536,MSAVI,-0.11328125,44490,,,,
0,patch_0_22,0,256,5632,5888,65536,NDVI,-0.57421875,14106,0,0.0,0,0.009808042386020944
0,patch_0_23,0,256,5888,6144,65536,MSAVI,0.08203125,42308,,,,
0,patch_0_23,0,256,5888,6144,65536,NDVI,-0.67578125,16134,0,0.0,0,0.009808042386020944
0,patch_0_24,0,256,6144,6400,65536,MSAVI,0.02734375,45656,,,,
0,patch_0_24,0,256,6144,6400,65536,NDVI,-0.66796875,17386,0,0.0,0,0.009808042386020944
0,patch_0_25,0,256,6400,6656,65536,MSAVI,-0.20703125,41614,,,,
0,patch_0_25,0,256,6400,6656,65536,NDVI,-0.69921875,8335,0,0.0,0,0.009808042386020944
0,patch_0_26,0,256,6656,6912,65536,MSAVI,-0.18359375,32282,,,,
0,patch_0_26,0,256,6656,6912,65536,NDVI,-0.44921875,8229,0,0.0,0,0.009808042386020944
0,patch_0_27,0,256,6912,7168,65536,MSAVI,-0.19921875,35017,,,,
0,patch_0_27,0,256,6912,7168,65536,NDVI,-0.54296875,8911,0,0.0,0,0.009808042386020944
0,patch_0_28,0,256,7168,7424,65536,MSAVI,-0.15234375,33565,,,,
0,patch_0_28,0,256,7168,7424,65536,NDVI,-0.55859375,10212,0,0.0,0,0.009808042386020944
0,patch_0_29,0,256,7424,7680,65536,MSAVI,-0.18359375,32426,,,,
0,patch_0_29,0,256,7424,7680,65536,NDVI,-0.60546875,47099,0,0.0,0,0.009808042386020944
0,patch_0_30,0,256,7680,7936,65536,MSAVI,-0.54296875,33617,,,,
0,patch_0_30,0,256,7680,7936,65536,NDVI,-0.80078125,46233,0,0.0,0,0.009808042386020944
0,patch_0_31,0,256,7936,8192,65536,MSAVI,-0.01171875,35235,,,,
0,patch_0_31,0,256,7936,8192,65536,NDVI,-0.59765625,7645,0,0.0,0,0.009808042386020944
0,patch_0_32,0,256,8192,8448,65536,MSAVI,-0.45703125,37453,,,,
0,patch_0_32,0,256,8192,8448,65536,NDVI,-0.64453125,6711,0,0.0,0,0.009808042386020944
0,patch_0_33,0,256,8448,8704,65536,MSAVI,-0.28515625,29111,,,,
0,patch_0_33,0,256,8448,8704,65536,NDVI,-0.55078125,9197,0,0.0,0,0.009808042386020944
0,patch_0_34,0,256,8704,8960,65536,MSAVI,-0.18359375,26101,,,,
0,patch_0_34,0,256,8704,8960,65536,NDVI,-0.41015625,6327,0,0.0,0,0.009808042386020944
0,patch_0_35,0,256,8960,9216,65536,MSAVI,-0.30859375,20067,,,,
0,patch_0_35,0,256,8960,9216,65536,NDVI,-0.54296875,4602,0,0.0,0,0.009808042386020944
0,patch_1_0,256,512,0,256,65536,MSAVI,-0.09765625,60646,,,,
0,patch_1_0,256,512,0,256,65536,NDVI,-0.48046875,4427,0,0.0,0,0.009808042386020944
0,patch_1_1,256,512,256,512,65536,MSAVI,-0.12890625,49764,,,,
0,patch_1_1,256,512,256,512,65536,NDVI,-0.41796875,14742,0,0.0,0,0.009808042386020944
0,patch_1_2,256,512,512,768,65536,MSAVI,-0.07421875,50632,,,,
0,patch_1_2,256,512,512,768,65536,NDVI,-0.43359375,13765,0,0.0,0,0.009808042386020944
0,patch_1_3,256,512,768,1024,65536,MSAVI,-0.24609375,45510,,,,
0,patch_1_3,256,512,768,1024,65536,NDVI,-0.47265625,18907,0,0.0,0,0.009808042386020944
0,patch_1_4,256,512,1024,1280,65536,MSAVI,-0.02734375,37378,,,,
0,patch_1_4,256,512,1024,1280,65536,NDVI,-0.51171875,28032,0,0.0,0,0.009808042386020944
0,patch_1_5,256,512,1280,1536,65536,MSAVI,-0.23828125,43869,,,,
0,patch_1_5,256,512,1280,1536,65536,NDVI,-0.99609375,21667,0,0.0,0,0.009808042386020944
0,patch_1_6,256,512,1536,1792,65536,MSAVI,-0.35546875,40156,,,,
0,patch_1_6,256,512,1536,1792,65536,NDVI,-0.76953125,24381,0,0.0,0,0.009808042386020944
0,patch_1_7,256,512,1792,2048,65536,MSAVI,-0.11328125,43371,,,,
0,patch_1_7,256,512,1792,2048,65536,NDVI,-0.99609375,22165,0,0.0,0,0.009808042386020944
0,patch_1_8,256,512,2048,2304,65536,MSAVI,-0.28515625,38691,,,,
0,patch_1_8,256,512,2048,2304,65536,NDVI,-0.99609375,26845,7902,0.013377895322825822,12116,0.020765270434811967
0,patch_1_9,256,512,2304,2560,65536,MSAVI,-0.16796875,42484,,,,
0,patch_1_9,256,512,2304,2560,65536,NDVI,-0.99609375,23052,13890,0.024446898007285306,14256,0.03102193141802642
0,patch_1_10,256,512,2560,2816,65536,MSAVI,-0.30859375,40775,,,,
0,patch_1_10,256,512,2560,2816,65536,NDVI,-0.63671875,24760,18741,0.024424463585370704,19522,0.03408176990934872
0,patch_1_11,256,512,2816,3072,65536,MSAVI,-0.20703125,46279,,,,
0,patch_1_11,256,512,2816,3072,65536,NDVI,-0.67578125,19095,10549,0.030315906161217238,10464,0.03660697994054485
0,patch_1_12,256,512,3072,3328,65536,MSAVI,0.14453125,34661,,,,
0,patch_1_12,256,512,3072,3328,65536,NDVI,-0.63671875,24741,9247,0.006821676161022722,15776,0.015037969827089853
0,patch_1_13,256,512,3328,3584,65536,MSAVI,-0.25390625,39312,,,,
0,patch_1_13,256,512,3328,3584,65536,NDVI,-0.70703125,19907,9482,0.01629210098725617,12279,0.022907477227048417
0,patch_1_14,256,512,3584,3840,65536,MSAVI,-0.19921875,38885,,,,
0,patch_1_14,256,512,3584,3840,65536,NDVI,-0.67578125,24198,16786,0.01927848502802365,18155,0.028628840422712798
0,patch_1_15,256,512,3840,4096,65536,MSAVI,-0.08203125,42693,,,,
0,patch_1_15,256,512,3840,4096,65536,NDVI,-0.71484375,9474,15578,0.022944511731953027,17269,0.03456407512416432
0,patch_1_16,256,512,4096,4352,65536,MSAVI,-0.12890625,57305,,,,
0,patch_1_16,256,512,4096,4352,65536,NDVI,-0.62109375,3784,4748,0.044017033197854966,4929,0.05568853236681698
0,patch_1_17,256,512,4352,4608,65536,MSAVI,-0.12890625,56284,,,,
0,patch_1_17,256,512,4352,4608,65536,NDVI,-0.62109375,4640,5698,0.038472153352691024,5785,0.04818318230513574
0,patch_1_18,256,512,4608,4864,65536,MSAVI,-0.20703125,43206,,,,
0,patch_1_18,256,512,4608,4864,65536,NDVI,-0.55078125,17551,0,0.0,0,0.009808042386020944
0,patch_1_19,256,512,4864,5120,65536,MSAVI,-0.07421875,42013,,,,
0,patch_1_19,256,512,4864,5120,65536,NDVI,-0.62890625,11994,0,0.0,0,0.009808042386020944
0,patch_1_20,256,512,5120,5376,65536,MSAVI,0.19921875,52382,,,,
0,patch_1_20,256,512,5120,5376,65536,NDVI,-0.61328125,6027,0,0.0,0,0.009808042386020944
0,patch_1_21,256,512,5376,5632,65536,MSAVI,-0.12890625,38323,,,,
0,patch_1_21,256,512,5376,5632,65536,NDVI,-0.66015625,17086,0,0.0,0,0.009808042386020944
0,patch_1_22,256,512,5632,5888,65536,MSAVI,0.23828125,43903,,,,
0,patch_1_22,256,512,5632,5888,65536,NDVI,-0.64453125,12371,0,0.0,0,0.009808042386020944
0,patch_1_23,256,512,5888,6144,65536,MSAVI,-0.31640625,38909,,,,
0,patch_1_23,256,512,5888,6144,65536,NDVI,-0.73828125,16610,0,0.0,0,0.009808042386020944
0,patch_1_24,256,512,6144,6400,65536,MSAVI,-0.17578125,34414,,,,
0,patch_1_24,256,512,6144,6400,65536,NDVI,-0.70703125,14624,0,0.0,0,0.009808042386020944
0,patch_1_25,256,512,6400,6656,65536,MSAVI,0.01171875,29416,,,,
0,patch_1_25,256,512,6400,6656,65536,NDVI,-0.44140625,10921,0,0.0,0,0.009808042386020944
0,patch_1_26,256,512,6656,6912,65536,MSAVI,0.13671875,34459,,,,
0,patch_1_26,256,512,6656,6912,65536,NDVI,-0.45703125,9808,0,0.0,0,0.009808042386020944
0,patch_1_27,256,512,6912,7168,65536,MSAVI,-0.14453125,34189,,,,
0,patch_1_27,256,512,6912,7168,65536,NDVI,-0.62890625,49190,0,0.0,0,0.009808042386020944
0,patch_1_28,256,512,7168,7424,65536,MSAVI,-0.27734375,38197,,,,
0,patch_1_28,256,512,7168,7424,65536,NDVI,-0.51171875,6140,0,0.0,0,0.009808042386020944
0,patch_1_29,256,512,7424,7680,65536,MSAVI,-0.34765625,39278,,,,
0,patch_1_29,256,512,7424,7680,65536,NDVI,-0.49609375,4224,0,0.0,0,0.009808042386020944
0,patch_1_30,256,512,7680,7936,65536,MSAVI,-0.26953125,35994,,,,
0,patch_1_30,256,512,7680,7936,65536,NDVI,-0.68359375,7441,0,0.0,0,0.009808042386020944
0,patch_1_31,256,512,7936,8192,65536,MSAVI,-0.40234375,33825,,,,
0,patch_1_31,256,512,7936,8192,65536,NDVI,-0.65234375,5373,0,0.0,0,0.009808042386020944
0,patch_1_32,256,512,8192,8448,65536,MSAVI,-0.33984375,34799,,,,
0,patch_1_32,256,512,8192,8448,65536,NDVI,-0.47265625,6143,0,0.0,0,0.009808042386020944
0,patch_1_33,256,512,8448,8704,65536,MSAVI,-0.15234375,32466,,,,
0,patch_1_33,256,512,8448,8704,65536,NDVI,-0.51953125,9604,0,0.0,0,0.009808042386020944
0,patch_1_34,256,512,8704,8960,65536,MSAVI,-0.28515625,38731,,,,
0,patch_1_34,256,512,8704,8960,65536,NDVI,-0.73046875,12060,0,0.0,0,0.009808042386020944
0,patch_1_35,256,512,8960,9216,65536,MSAVI,-0.16796875,32768,,,,
0,patch_1_35,256,512,8960,9216,65536,NDVI,-0.45703125,7398,0,0.0,0,0.009808042386020944
0,patch_2_0,512,768,0,256,65536,MSAVI,-0.21484375,57436,,,,
0,patch_2_0,512,768,0,256,65536,NDVI,-0.65234375,4215,0,0.0,0,0.009808042386020944
0,patch_2_1,512,768,256,512,65536,MSAVI,-0.23046875,45140,,,,
0,patch_2_1,512,768,256,512,65536,NDVI,-0.42578125,19175,0,0.0,0,0.009808042386020944
0,patch_2_2,512,768,512,768,65536,MSAVI,-0.24609375,42253,,,,
0,patch_2_2,512,768,512,768,65536,NDVI,-0.51171875,20117,0,0.0,0,0.009808042386020944
0,patch_2_3,512,768,768,1024,65536,MSAVI,-0.19921875,47200,,,,
0,patch_2_3,512,768,768,1024,65536,NDVI,-0.62890625,13856,0,0.0,0,0.009808042386020944
0,patch_2_4,512,768,1024,1280,65536,MSAVI,-0.26171875,40830,,,,
0,patch_2_4,512,768,1024,1280,65536,NDVI,-0.65234375,21840,0,0.0,0,0.009808042386020944
0,patch_2_5,512,768,1280,1536,65536,MSAVI,-0.36328125,42560,,,,
0,patch_2_5,512,768,1280,1536,65536,NDVI,-0.61328125,19852,0,0.0,0,0.009808042386020944
0,patch_2_6,512,768,1536,1792,65536,MSAVI,-0.19140625,43069,,,,
0,patch_2_6,512,768,1536,1792,65536,NDVI,-0.60546875,22467,0,0.0,0,0.009808042386020944
0,patch_2_7,512,768,1792,2048,65536,MSAVI,-0.25390625,40293,,,,
0,patch_2_7,512,768,1792,2048,65536,NDVI,-0.73828125,25188,13896,0.01821290241481921,16855,0.02722744859335058
0,patch_2_8,512,768,2048,2304,65536,MSAVI,-0.26953125,41137,,,,
0,patch_2_8,512,768,2048,2304,65536,NDVI,-0.71484375,22287,8996,0.017466156921176784,11225,0.025723650393792735
0,patch_2_9,512,768,2304,2560,65536,MSAVI,-0.32421875,45676,,,,
0,patch_2_9,512,768,2304,2560,65536,NDVI,-0.72265625,19826,9594,0.027983933699382957,9852,0.033043957899245885
0,patch_2_10,512,768,2560,2816,65536,MSAVI,-0.12109375,46587,,,,
0,patch_2_10,512,768,2560,2816,65536,NDVI,-0.99609375,18949,12851,0.026976838632325417,13213,0.03855478962267708
0,patch_2_11,512,768,2816,3072,65536,MSAVI,-0.06640625,37177,,,,
0,patch_2_11,512,768,2816,3072,65536,NDVI,-0.66796875,20201,13691,0.014078188641783701,15595,0.02234460854695941
0,patch_2_12,512,768,3072,3328,65536,MSAVI,-0.05078125,33589,,,,
0,patch_2_12,512,768,3072,3328,65536,NDVI,-0.66015625,17765,14521,0.005114384799136201,22854,0.017589070669502382
0,patch_2_13,512,768,3328,3584,65536,MSAVI,-0.07421875,40011,,,,
0,patch_2_13,512,768,3328,3584,65536,NDVI,-0.73828125,18879,13696,0.01788540003407152,15046,0.02612879852125058
0,patch_2_14,512,768,3584,3840,65536,MSAVI,-0.18359375,49292,,,,
0,patch_2_14,512,768,3584,3840,65536,NDVI,-0.67578125,16155,10250,0.032143201844856084,10856,0.04347830320459184
0,patch_2_15,512,768,3840,4096,65536,MSAVI,-0.01953125,38528,,,,
0,patch_2_15,512,768,3840,4096,65536,NDVI,-0.65234375,16306,16873,0.017477778889222445,19884,0.026556113599325942
0,patch_2_16,512,768,4096,4352,65536,MSAVI,0.03515625,39665,,,,
0,patch_2_16,512,768,4096,4352,65536,NDVI,-0.65234375,11554,15498,0.02058414096367045,17449,0.026847461455948213
0,patch_2_17,512,768,4352,4608,65536,MSAVI,-0.40234375,48095,,,,
0,patch_2_17,512,768,4352,4608,65536,NDVI,-0.73046875,4335,12228,0.03084297430231492,12732,0.0401790901433558
0,patch_2_18,512,768,4608,4864,65536,MSAVI,-0.16015625,47154,,,,
0,patch_2_18,512,768,4608,4864,65536,NDVI,-0.57421875,9386,9259,0.027407618161335162,9939,0.038138541274369775
0,patch_2_19,512,768,4864,5120,65536,MSAVI,0.15234375,40197,,,,
0,patch_2_19,512,768,4864,5120,65536,NDVI,-0.61328125,10280,10243,0.015777100018926266,11608,0.023213626583223984
0,patch_2_20,512,768,5120,5376,65536,MSAVI,0.06640625,41603,,,,
0,patch_2_20,512,768,5120,5376,65536,NDVI,-0.66015625,11394,13105,0.01858959930914736,16150,0.028411198192530296
0,patch_2_21,512,768,5376,5632,65536,MSAVI,0.16015625,39973,,,,
0,patch_2_21,512,768,5376,5632,65536,NDVI,-0.59765625,11355,18506,0.016217314779542413,20543,0.0282546884565619
0,patch_2_22,512,768,5632,5888,65536,MSAVI,-0.08984375,42933,,,,
0,patch_2_22,512,768,5632,5888,65536,NDVI,-0.62890625,10469,0,0.0,0,0.009808042386020944
0,patch_2_23,512,768,5888,6144,65536,MSAVI,-0.19921875,38076,,,,
0,patch_2_23,512,768,5888,6144,65536,NDVI,-0.69140625,11894,0,0.0,0,0.009808042386020944
0,patch_2_24,512,768,6144,6400,65536,MSAVI,-0.00390625,38115,,,,
0,patch_2_24,512,768,6144,6400,65536,NDVI,-0.66015625,13405,0,0.0,0,0.009808042386020944
0,patch_2_25,512,768,6400,6656,65536,MSAVI,-0.19140625,30231,,,,
0,patch_2_25,512,768,6400,6656,65536,NDVI,-0.58984375,10842,0,0.0,0,0.009808042386020944
0,patch_2_26,512,768,6656,6912,65536,MSAVI,-0.12890625,28104,,,,
0,patch_2_26,512,768,6656,6912,65536,NDVI,-0.41796875,11181,0,0.0,0,0.009808042386020944
0,patch_2_27,512,768,6912,7168,65536,MSAVI,-0.23046875,36109,,,,
0,patch_2_27,512,768,6912,7168,65536,NDVI,-0.54296875,8466,0,0.0,0,0.009808042386020944
0,patch_2_28,512,768,7168,7424,65536,MSAVI,-0.25390625,33697,,,,
0,patch_2_28,512,768,7168,7424,65536,NDVI,-0.56640625,9108,0,0.0,0,0.009808042386020944
0,patch_2_29,512,768,7424,7680,65536,MSAVI,-0.48046875,39908,,,,
0,patch_2_29,512,768,7424,7680,65536,NDVI,-0.48046875,2830,0,0.0,0,0.009808042386020944
0,patch_2_30,512,768,7680,7936,65536,MSAVI,-0.51953125,38203,,,,
0,patch_2_30,512,768,7680,7936,65536,NDVI,-0.73828125,6399,0,0.0,0,0.009808042386020944
0,patch_2_31,512,768,7936,8192,65536,MSAVI,-0.48828125,41071,,,,
0,patch_2_31,512,768,7936,8192,65536,NDVI,-0.65234375,7782,0,0.0,0,0.009808042386020944
0,patch_2_32,512,768,8192,8448,65536,MSAVI,-0.22265625,35392,,,,
0,patch_2_32,512,768,8192,8448,65536,NDVI,-0.51171875,6081,0,0.0,0,0.009808042386020944
0,patch_2_33,512,768,8448,8704,65536,MSAVI,-0.05859375,29736,,,,
0,patch_2_33,512,768,8448,8704,65536,NDVI,-0.60546875,46739,0,0.0,0,0.009808042386020944
0,patch_2_34,512,768,8704,8960,65536,MSAVI,-0.26953125,36580,,,,
0,patch_2_34,512,768,8704,8960,65536,NDVI,-0.41796875,2526,0,0.0,0,0.009808042386020944
0,patch_2_35,512,768,8960,9216,65536,MSAVI,-0.17578125,31751,,,,
0,patch_2_35,512,768,8960,9216,65536,NDVI,-0.57421875,46566,0,0.0,0,0.009808042386020944
0,patch_3_0,768,1024,0,256,65536,MSAVI,-0.32421875,59662,,,,
0,patch_3_0,768,1024,0,256,65536,NDVI,-0.51171875,2148,0,0.0,0,0.009808042386020944
0,patch_3_1,768,1024,256,512,65536,MSAVI,-0.17578125,49224,,,,
0,patch_3_1,768,1024,256,512,65536,NDVI,-0.46484375,14832,0,0.0,0,0.009808042386020944
0,patch_3_2,768,1024,512,768,65536,MSAVI,-0.13671875,56057,,,,
0,patch_3_2,768,1024,512,768,65536,NDVI,-0.37890625,8286,0,0.0,0,0.009808042386020944
0,patch_3_3,768,1024,768,1024,65536,MSAVI,-0.19921875,49130,,,,
0,patch_3_3,768,1024,768,1024,65536,NDVI,-0.51171875,12807,0,0.0,0,0.009808042386020944
0,patch_3_4,768,1024,1024,1280,65536,MSAVI,-0.39453125,55371,,,,
