,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
0,patch_0_18,0,256,4608,4864,65536,MSAVI,-0.19140625,40545,,,,
0,patch_0_18,0,256,4608,4864,65536,NDVI,-0.99609375,24991,12273,0.015551245699154115,14314,0.02845935978878314
0,patch_0_19,0,256,4864,5120,65536,MSAVI,-0.05078125,40590,,,,
0,patch_0_19,0,256,4864,5120,65536,NDVI,-0.99609375,24946,13480,0.018480404669076356,14210,0.0282026421930347
0,patch_0_20,0,256,5120,5376,65536,MSAVI,0.01953125,46848,,,,
0,patch_0_20,0,256,5120,5376,65536,NDVI,-0.40234375,18680,14802,0.025589458919087316,65536,0.0389899063503828
0,patch_0_21,0,256,5376,5632,65536,MSAVI,-0.23828125,39792,,,,
0,patch_0_21,0,256,5376,5632,65536,NDVI,-0.69140625,25744,7038,0.012733796481510976,8669,0.02353814652621214
0,patch_0_22,0,256,5632,5888,65536,MSAVI,-0.27734375,37541,,,,
0,patch_0_22,0,256,5632,5888,65536,NDVI,-0.99609375,27995,7383,0.007697122080466981,12113,0.019481627626381948
0,patch_0_23,0,256,5888,6144,65536,MSAVI,-0.22265625,41239,,,,
0,patch_0_23,0,256,5888,6144,65536,NDVI,-0.76171875,21362,4934,0.01297042362223122,7348,0.02603044753475267
0,patch_0_24,0,256,6144,6400,65536,MSAVI,-0.19921875,40224,,,,
0,patch_0_24,0,256,6144,6400,65536,NDVI,-0.66796875,25203,8305,0.013615053900524421,9719,0.02561965067243785
0,patch_0_25,0,256,6400,6656,65505,MSAVI,-0.09765625,33953,,,,
0,patch_0_25,0,256,6400,6656,65505,NDVI,-0.51953125,31582,20012,0.011206141395681074,65536,0.020206879593585803
0,patch_0_32,0,256,8192,8448,65536,MSAVI,0.0,65536,,,,
0,patch_0_32,0,256,8192,8448,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_1,256,512,256,512,65536,MSAVI,0.00390625,36785,,,,
0,patch_1_1,256,512,256,512,65536,NDVI,-0.99609375,28751,16983,0.011858851421690214,19014,0.022486436575854418
0,patch_1_2,256,512,512,768,65536,MSAVI,0.10546875,31388,,,,
0,patch_1_2,256,512,512,768,65536,NDVI,-0.99609375,34148,15915,0.0028387958888396736,24914,0.016761539065195286
0,patch_1_3,256,512,768,1024,65536,MSAVI,-0.01171875,32990,,,,
0,patch_1_3,256,512,768,1024,65536,NDVI,-0.99609375,32546,23554,0.011845098858650024,24657,0.019877561010200495
0,patch_1_4,256,512,1024,1280,65536,MSAVI,0.01171875,40925,,,,
0,patch_1_4,256,512,1024,1280,65536,NDVI,-0.99609375,24611,18576,0.019664453291715248,65536,0.032665646440036084
0,patch_1_5,256,512,1280,1536,65536,MSAVI,-0.11328125,37175,,,,
0,patch_1_5,256,512,1280,1536,65536,NDVI,-0.99609375,28361,20329,0.013848414660986158,21728,0.026135650096331287
0,patch_1_6,256,512,1536,1792,65536,MSAVI,-0.16796875,39323,,,,
0,patch_1_6,256,512,1536,1792,65536,NDVI,-0.99609375,26213,16590,0.01763273899689291,17063,0.02423498861223833
0,patch_1_7,256,512,1792,2048,65536,MSAVI,-0.04296875,32019,,,,
0,patch_1_7,256,512,1792,2048,65536,NDVI,-0.99609375,33517,27865,0.02015102719889536,65536,0.021374467693006577
0,patch_1_8,256,512,2048,2304,65536,MSAVI,0.13671875,27656,,,,
0,patch_1_8,256,512,2048,2304,65536,NDVI,-0.99609375,37880,1048,-0.005307971320896512,65536,0.012775400392857211
0,patch_1_9,256,512,2304,2560,65536,MSAVI,0.04296875,29622,,,,
0,patch_1_9,256,512,2304,2560,65536,NDVI,-0.99609375,35914,32719,0.015725734961899773,65536,0.020095543117692655
0,patch_1_10,256,512,2560,2816,65536,MSAVI,-0.07421875,36535,,,,
