,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
0,patch_0_0,0,256,0,256,65536,MSAVI,0.0,65536,,,,
0,patch_0_0,0,256,0,256,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_1,0,256,256,512,65536,MSAVI,0.0,65536,,,,
0,patch_0_1,0,256,256,512,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_2,0,256,512,768,65536,MSAVI,0.0,65536,,,,
0,patch_0_2,0,256,512,768,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_3,0,256,768,1024,65536,MSAVI,0.0,65536,,,,
0,patch_0_3,0,256,768,1024,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_4,0,256,1024,1280,65536,MSAVI,0.0,65536,,,,
0,patch_0_4,0,256,1024,1280,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_5,0,256,1280,1536,65536,MSAVI,0.0,65536,,,,
0,patch_0_5,0,256,1280,1536,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_6,0,256,1536,1792,65536,MSAVI,0.0,65536,,,,
0,patch_0_6,0,256,1536,1792,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_7,0,256,1792,2048,65536,MSAVI,0.0,65536,,,,
0,patch_0_7,0,256,1792,2048,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_8,0,256,2048,2304,65536,MSAVI,0.0,65536,,,,
0,patch_0_8,0,256,2048,2304,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_19,0,256,4864,5120,65536,MSAVI,0.0,65536,,,,
0,patch_0_19,0,256,4864,5120,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_20,0,256,5120,5376,65536,MSAVI,0.0,65536,,,,
0,patch_0_20,0,256,5120,5376,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_21,0,256,5376,5632,65536,MSAVI,0.0,65536,,,,
0,patch_0_21,0,256,5376,5632,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_22,0,256,5632,5888,65536,MSAVI,0.0,65536,,,,
0,patch_0_22,0,256,5632,5888,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_23,0,256,5888,6144,65536,MSAVI,0.0,65536,,,,
0,patch_0_23,0,256,5888,6144,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_24,0,256,6144,6400,65536,MSAVI,0.0,65536,,,,
0,patch_0_24,0,256,6144,6400,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_25,0,256,6400,6656,65536,MSAVI,0.0,65536,,,,
0,patch_0_25,0,256,6400,6656,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_26,0,256,6656,6912,65536,MSAVI,0.0,65536,,,,
0,patch_0_26,0,256,6656,6912,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_27,0,256,6912,7168,65536,MSAVI,0.0,65536,,,,
0,patch_0_27,0,256,6912,7168,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_28,0,256,7168,7424,65536,MSAVI,0.0,65536,,,,
0,patch_0_28,0,256,7168,7424,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_29,0,256,7424,7680,65536,MSAVI,0.0,65536,,,,
0,patch_0_29,0,256,7424,7680,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_30,0,256,7680,7936,65536,MSAVI,0.0,65536,,,,
0,patch_0_30,0,256,7680,7936,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_31,0,256,7936,8192,65536,MSAVI,0.0,65536,,,,
0,patch_0_31,0,256,7936,8192,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_32,0,256,8192,8448,65536,MSAVI,0.0,65536,,,,
0,patch_0_32,0,256,8192,8448,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_33,0,256,8448,8704,65536,MSAVI,0.0,65536,,,,
0,patch_0_33,0,256,8448,8704,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_0,256,512,0,256,65536,MSAVI,0.0,65536,,,,
0,patch_1_0,256,512,0,256,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_1,256,512,256,512,65536,MSAVI,0.0,65536,,,,
0,patch_1_1,256,512,256,512,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_2,256,512,512,768,65536,MSAVI,0.0,65536,,,,
0,patch_1_2,256,512,512,768,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_3,256,512,768,1024,65536,MSAVI,0.0,65536,,,,
0,patch_1_3,256,512,768,1024,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_4,256,512,1024,1280,65536,MSAVI,0.0,65536,,,,
0,patch_1_4,256,512,1024,1280,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_5,256,512,1280,1536,65536,MSAVI,0.0,65536,,,,
0,patch_1_5,256,512,1280,1536,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_6,256,512,1536,1792,65536,MSAVI,0.0,65536,,,,
0,patch_1_6,256,512,1536,1792,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_7,256,512,1792,2048,65536,MSAVI,0.0,65536,,,,
0,patch_1_7,256,512,1792,2048,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_10,256,512,2560,2816,65536,MSAVI,-0.13671875,34919,,,,
0,patch_1_10,256,512,2560,2816,65536,NDVI,-0.99609375,30617,6962,0.0044531483386911624,9875,0.013015237295142201
0,patch_1_11,256,512,2816,3072,65536,MSAVI,-0.01953125,34994,,,,
0,patch_1_11,256,512,2816,3072,65536,NDVI,-0.99609375,30542,9451,0.005711021755705828,13756,0.013938506053109645
0,patch_1_12,256,512,3072,3328,65536,MSAVI,-0.17578125,32344,,,,
0,patch_1_12,256,512,3072,3328,65536,NDVI,-0.99609375,33192,4809,0.0024600635856029673,13219,0.011053366402401454
0,patch_1_13,256,512,3328,3584,65536,MSAVI,-0.13671875,33018,,,,
0,patch_1_13,256,512,3328,3584,65536,NDVI,-0.99609375,32518,9702,0.0034069496955708295,17192,0.014756508331790569
0,patch_1_14,256,512,3584,3840,65536,MSAVI,-0.07421875,39399,,,,
0,patch_1_14,256,512,3584,3840,65536,NDVI,-0.99609375,26137,7136,0.012696927047415416,8072,0.017993710626171916
0,patch_1_15,256,512,3840,4096,65536,MSAVI,-0.21484375,36617,,,,
0,patch_1_15,256,512,3840,4096,65536,NDVI,-0.99609375,28919,6643,0.006622900517320146,10881,0.014976032503416614
0,patch_1_16,256,512,4096,4352,65536,MSAVI,-0.11328125,37544,,,,
0,patch_1_16,256,512,4096,4352,65536,NDVI,-0.99609375,27992,12014,0.013577678964407522,65536,0.02058449896827816
0,patch_1_17,256,512,4352,4608,65536,MSAVI,0.01171875,29787,,,,
0,patch_1_17,256,512,4352,4608,65536,NDVI,-0.99609375,35749,7319,-0.0003861013484761505,23534,0.014072408135573311
0,patch_1_22,256,512,5632,5888,65536,MSAVI,0.0,65536,,,,
0,patch_1_22,256,512,5632,5888,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_23,256,512,5888,6144,65536,MSAVI,0.0,65536,,,,
0,patch_1_23,256,512,5888,6144,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_24,256,512,6144,6400,65536,MSAVI,0.0,65536,,,,
0,patch_1_24,256,512,6144,6400,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_25,256,512,6400,6656,65536,MSAVI,0.0,65536,,,,
0,patch_1_25,256,512,6400,6656,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_26,256,512,6656,6912,65536,MSAVI,0.0,65536,,,,
0,patch_1_26,256,512,6656,6912,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_27,256,512,6912,7168,65536,MSAVI,0.0,65536,,,,
0,patch_1_27,256,512,6912,7168,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_28,256,512,7168,7424,65536,MSAVI,0.0,65536,,,,
0,patch_1_28,256,512,7168,7424,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_29,256,512,7424,7680,65536,MSAVI,0.0,65536,,,,
0,patch_1_29,256,512,7424,7680,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_30,256,512,7680,7936,65536,MSAVI,0.0,65536,,,,
0,patch_1_30,256,512,7680,7936,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_31,256,512,7936,8192,65536,MSAVI,0.0,65536,,,,
0,patch_1_31,256,512,7936,8192,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_32,256,512,8192,8448,65536,MSAVI,0.0,65536,,,,
0,patch_1_32,256,512,8192,8448,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_33,256,512,8448,8704,65536,MSAVI,0.0,65536,,,,
0,patch_1_33,256,512,8448,8704,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_0,512,768,0,256,65536,MSAVI,0.0,65536,,,,
0,patch_2_0,512,768,0,256,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_1,512,768,256,512,65536,MSAVI,0.0,65536,,,,
0,patch_2_1,512,768,256,512,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_2,512,768,512,768,65536,MSAVI,0.0,65536,,,,
0,patch_2_2,512,768,512,768,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_3,512,768,768,1024,65536,MSAVI,0.0,65536,,,,
0,patch_2_3,512,768,768,1024,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_4,512,768,1024,1280,65536,MSAVI,0.0,65536,,,,
0,patch_2_4,512,768,1024,1280,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_5,512,768,1280,1536,65536,MSAVI,0.0,65536,,,,
0,patch_2_5,512,768,1280,1536,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_6,512,768,1536,1792,65536,MSAVI,0.0,65536,,,,
0,patch_2_6,512,768,1536,1792,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_7,512,768,1792,2048,65536,MSAVI,0.0,65536,,,,
0,patch_2_7,512,768,1792,2048,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_9,512,768,2304,2560,65536,MSAVI,-0.08203125,32501,,,,
0,patch_2_9,512,768,2304,2560,65536,NDVI,-0.99609375,33035,19866,0.009273092907648453,22785,0.019744279985749513
0,patch_2_10,512,768,2560,2816,65536,MSAVI,-0.22265625,31555,,,,
0,patch_2_10,512,768,2560,2816,65536,NDVI,-0.99609375,33981,8432,0.0018592320887205332,19316,0.014585760010485116
0,patch_2_11,512,768,2816,3072,65536,MSAVI,-0.01953125,32450,,,,
0,patch_2_11,512,768,2816,3072,65536,NDVI,-0.99609375,33086,15631,0.005861217451892567,21498,0.018809891292477426
0,patch_2_12,512,768,3072,3328,65536,MSAVI,-0.08984375,32725,,,,
0,patch_2_12,512,768,3072,3328,65536,NDVI,-0.99609375,32811,11433,0.003481503784876064,18773,0.013352349918658163
0,patch_2_13,512,768,3328,3584,65536,MSAVI,-0.06640625,33900,,,,
0,patch_2_13,512,768,3328,3584,65536,NDVI,-0.99609375,31636,8380,0.005917244335568214,12889,0.012691351160170034
0,patch_2_14,512,768,3584,3840,65536,MSAVI,-0.21484375,36831,,,,
0,patch_2_14,512,768,3584,3840,65536,NDVI,-0.99609375,28705,5967,0.0073184671334130535,9607,0.016238451969708856
0,patch_2_15,512,768,3840,4096,65536,MSAVI,-0.19140625,36297,,,,
0,patch_2_15,512,768,3840,4096,65536,NDVI,-0.99609375,29239,10997,0.009761773961245154,65536,0.01604082846566271
0,patch_2_16,512,768,4096,4352,65536,MSAVI,-0.12109375,36468,,,,
0,patch_2_16,512,768,4096,4352,65536,NDVI,-0.99609375,29068,6907,0.0081599826985084,11089,0.016616342592438466
0,patch_2_17,512,768,4352,4608,65536,MSAVI,-0.12109375,34874,,,,
0,patch_2_17,512,768,4352,4608,65536,NDVI,-0.99609375,30662,11049,0.007422801648594338,13278,0.015499586730929188
0,patch_2_18,512,768,4608,4864,65536,MSAVI,-0.07421875,37529,,,,
0,patch_2_18,512,768,4608,4864,65536,NDVI,-0.99609375,28007,11075,0.012344725276769553,12761,0.01858666165476397
0,patch_2_19,512,768,4864,5120,65536,MSAVI,-0.17578125,38491,,,,
0,patch_2_19,512,768,4864,5120,65536,NDVI,-0.99609375,27045,6651,0.010636495422088,8369,0.017244058743137614
0,patch_2_20,512,768,5120,5376,65536,MSAVI,-0.04296875,37971,,,,
0,patch_2_20,512,768,5120,5376,65536,NDVI,-0.99609375,27565,11912,0.010429198229217548,65476,0.01648279475506126
0,patch_2_25,512,768,6400,6656,65536,MSAVI,0.0,65536,,,,
0,patch_2_25,512,768,6400,6656,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_26,512,768,6656,6912,65536,MSAVI,0.0,65536,,,,
0,patch_2_26,512,768,6656,6912,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_27,512,768,6912,7168,65536,MSAVI,0.0,65536,,,,
0,patch_2_27,512,768,6912,7168,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_28,512,768,7168,7424,65536,MSAVI,0.0,65536,,,,
0,patch_2_28,512,768,7168,7424,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_29,512,768,7424,7680,65536,MSAVI,0.0,65536,,,,
0,patch_2_29,512,768,7424,7680,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_30,512,768,7680,7936,65536,MSAVI,0.0,65536,,,,
0,patch_2_30,512,768,7680,7936,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_31,512,768,7936,8192,65536,MSAVI,0.0,65536,,,,
0,patch_2_31,512,768,7936,8192,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_32,512,768,8192,8448,65536,MSAVI,0.0,65536,,,,
0,patch_2_32,512,768,8192,8448,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_2_33,512,768,8448,8704,65536,MSAVI,0.0,65536,,,,
0,patch_2_33,512,768,8448,8704,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_0,768,1024,0,256,65536,MSAVI,0.0,65536,,,,
0,patch_3_0,768,1024,0,256,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_1,768,1024,256,512,65536,MSAVI,0.0,65536,,,,
0,patch_3_1,768,1024,256,512,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_2,768,1024,512,768,65536,MSAVI,0.0,65536,,,,
0,patch_3_2,768,1024,512,768,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_3,768,1024,768,1024,65536,MSAVI,0.0,65536,,,,
0,patch_3_3,768,1024,768,1024,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_4,768,1024,1024,1280,65536,MSAVI,0.0,65536,,,,
0,patch_3_4,768,1024,1024,1280,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_5,768,1024,1280,1536,65536,MSAVI,0.0,65536,,,,
0,patch_3_5,768,1024,1280,1536,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_6,768,1024,1536,1792,65536,MSAVI,0.0,65536,,,,
0,patch_3_6,768,1024,1536,1792,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_9,768,1024,2304,2560,65536,MSAVI,-0.08984375,34112,,,,
0,patch_3_9,768,1024,2304,2560,65536,NDVI,-0.99609375,31424,14848,0.008344696630944337,65536,0.01754092986428188
0,patch_3_10,768,1024,2560,2816,65536,MSAVI,0.01171875,36540,,,,
0,patch_3_10,768,1024,2560,2816,65536,NDVI,-0.99609375,28996,14307,0.012171599319494908,17010,0.01855978637762659
0,patch_3_11,768,1024,2816,3072,65536,MSAVI,-0.22265625,37666,,,,
0,patch_3_11,768,1024,2816,3072,65536,NDVI,-0.58984375,27869,8111,0.01055501817666854,12617,0.02004885798104486
0,patch_3_12,768,1024,3072,3328,65536,MSAVI,-0.17578125,33667,,,,
0,patch_3_12,768,1024,3072,3328,65536,NDVI,-0.52734375,31868,12718,0.005064871319175268,19900,0.01632337226336117
0,patch_3_13,768,1024,3328,3584,65536,MSAVI,0.01171875,30072,,,,
0,patch_3_13,768,1024,3328,3584,65536,NDVI,-0.99609375,35464,12989,0.002017946657286232,23338,0.014595460070271876
0,patch_3_14,768,1024,3584,3840,65536,MSAVI,-0.08984375,34999,,,,
0,patch_3_14,768,1024,3584,3840,65536,NDVI,-0.99609375,30537,7053,0.0055350830331351575,13220,0.016116519934827767
0,patch_3_15,768,1024,3840,4096,65536,MSAVI,-0.12109375,36101,,,,
0,patch_3_15,768,1024,3840,4096,65536,NDVI,-0.99609375,29435,14160,0.01478692206517214,65536,0.017995298807854415
0,patch_3_16,768,1024,4096,4352,65536,MSAVI,-0.22265625,36406,,,,
0,patch_3_16,768,1024,4096,4352,65536,NDVI,-0.99609375,29130,12152,0.008369190386395178,14935,0.018240911691892264
0,patch_3_17,768,1024,4352,4608,65536,MSAVI,-0.09765625,37610,,,,
0,patch_3_17,768,1024,4352,4608,65536,NDVI,-0.99609375,27926,9296,0.009362494845962271,12006,0.01778838695087326
0,patch_3_18,768,1024,4608,4864,65536,MSAVI,-0.19140625,38199,,,,
0,patch_3_18,768,1024,4608,4864,65536,NDVI,-0.99609375,27337,15572,0.015453108158976436,15830,0.02057163294731701
0,patch_3_19,768,1024,4864,5120,65536,MSAVI,-0.18359375,35110,,,,
0,patch_3_19,768,1024,4864,5120,65536,NDVI,-0.99609375,30426,11434,0.007207374560965929,15597,0.01813461233025296
0,patch_3_20,768,1024,5120,5376,65536,MSAVI,-0.08984375,36303,,,,
0,patch_3_20,768,1024,5120,5376,65536,NDVI,-0.48046875,29233,14249,0.011283462920977413,15540,0.018025524060680226
0,patch_3_21,768,1024,5376,5632,65536,MSAVI,-0.11328125,39268,,,,
0,patch_3_21,768,1024,5376,5632,65536,NDVI,-0.99609375,26268,4324,0.010536692554255073,5923,0.016950965540621643
0,patch_3_22,768,1024,5632,5888,65536,MSAVI,-0.12890625,38815,,,,
0,patch_3_22,768,1024,5632,5888,65536,NDVI,-0.99609375,26721,8318,0.010765871169426039,8715,0.016301150018892457
0,patch_3_23,768,1024,5888,6144,65536,MSAVI,0.03515625,31724,,,,
0,patch_3_23,768,1024,5888,6144,65536,NDVI,-0.99609375,33812,11082,0.002345405927994454,18425,0.012632936918981763
0,patch_3_28,768,1024,7168,7424,65536,MSAVI,0.0,65536,,,,
0,patch_3_28,768,1024,7168,7424,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_29,768,1024,7424,7680,65536,MSAVI,0.0,65536,,,,
0,patch_3_29,768,1024,7424,7680,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_30,768,1024,7680,7936,65536,MSAVI,0.0,65536,,,,
0,patch_3_30,768,1024,7680,7936,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_31,768,1024,7936,8192,65536,MSAVI,0.0,65536,,,,
0,patch_3_31,768,1024,7936,8192,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_32,768,1024,8192,8448,65536,MSAVI,0.0,65536,,,,
0,patch_3_32,768,1024,8192,8448,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_3_33,768,1024,8448,8704,65536,MSAVI,0.0,65536,,,,
0,patch_3_33,768,1024,8448,8704,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_4_0,1024,1280,0,256,65536,MSAVI,0.0,65536,,,,
0,patch_4_0,1024,1280,0,256,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_4_1,1024,1280,256,512,65536,MSAVI,0.0,65536,,,,
