,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
0,patch_0_0,0,256,0,256,65536,MSAVI,0.0,65536,,,,
0,patch_0_0,0,256,0,256,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_1,0,256,256,512,65536,MSAVI,0.0,65536,,,,
0,patch_0_1,0,256,256,512,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_28,0,256,7168,7424,65536,MSAVI,0.0,65536,,,,
0,patch_0_28,0,256,7168,7424,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_29,0,256,7424,7680,65536,MSAVI,0.0,65536,,,,
0,patch_0_29,0,256,7424,7680,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_2,256,512,512,768,65434,MSAVI,-0.16015625,47493,,,,
0,patch_1_2,256,512,512,768,65434,NDVI,-0.50390625,16838,14011,0.02322201641017635,65487,0.025736203951519182
0,patch_1_3,256,512,768,1024,65536,MSAVI,-0.12109375,40998,,,,
0,patch_1_3,256,512,768,1024,65536,NDVI,-0.58984375,12173,7235,0.01310042882984283,7324,0.017126974446022514
0,patch_1_4,256,512,1024,1280,65536,MSAVI,-0.23046875,44100,,,,
0,patch_1_4,256,512,1024,1280,65536,NDVI,-0.57421875,16182,11646,0.015187697963339061,11292,0.020651123193064114
0,patch_1_5,256,512,1280,1536,65536,MSAVI,-0.16796875,44710,,,,
0,patch_1_5,256,512,1280,1536,65536,NDVI,-0.51953125,18943,12139,0.015072637643369927,12571,0.020475552313368214
0,patch_1_6,256,512,1536,1792,65536,MSAVI,-0.22265625,42663,,,,
0,patch_1_6,256,512,1536,1792,65536,NDVI,-0.62890625,16204,8638,0.012579147600646767,10619,0.01742978571752682
0,patch_1_7,256,512,1792,2048,65536,MSAVI,-0.24609375,44325,,,,
0,patch_1_7,256,512,1792,2048,65536,NDVI,-0.60546875,20156,9383,0.018351992035866488,9493,0.021050232993051643
0,patch_1_8,256,512,2048,2304,65536,MSAVI,-0.20703125,42633,,,,
0,patch_1_8,256,512,2048,2304,65536,NDVI,-0.51171875,22796,9960,0.013604185258419263,10889,0.01885653767506182
0,patch_1_9,256,512,2304,2560,65536,MSAVI,-0.23046875,41162,,,,
0,patch_1_9,256,512,2304,2560,65536,NDVI,-0.51171875,24315,4863,0.009434912170744311,7986,0.013962678819063934
0,patch_1_10,256,512,2560,2816,65536,MSAVI,-0.16015625,42140,,,,
0,patch_1_10,256,512,2560,2816,65536,NDVI,-0.57421875,23218,7736,0.012842572639826105,10781,0.019884705410458003
0,patch_1_11,256,512,2816,3072,65536,MSAVI,-0.18359375,39497,,,,
0,patch_1_11,256,512,2816,3072,65536,NDVI,-0.57421875,25593,14206,0.010327108697139792,17982,0.019130767852800323
0,patch_1_12,256,512,3072,3328,65536,MSAVI,-0.24609375,40533,,,,
0,patch_1_12,256,512,3072,3328,65536,NDVI,-0.58984375,24715,8187,0.011799873737031064,11403,0.01695754225564222
0,patch_1_13,256,512,3328,3584,65536,MSAVI,-0.24609375,43753,,,,
0,patch_1_13,256,512,3328,3584,65536,NDVI,-0.53515625,21332,8551,0.015016860302327906,10676,0.02000652725603541
0,patch_1_14,256,512,3584,3840,65536,MSAVI,-0.13671875,44447,,,,
0,patch_1_14,256,512,3584,3840,65536,NDVI,-0.51171875,20989,10777,0.017815919370876385,11915,0.023327780428450767
0,patch_1_15,256,512,3840,4096,65536,MSAVI,-0.02734375,41283,,,,
0,patch_1_15,256,512,3840,4096,65536,NDVI,-0.37109375,24039,8937,0.012998309465985597,11230,0.020640417206549383
0,patch_1_16,256,512,4096,4352,65536,MSAVI,-0.07421875,42581,,,,
0,patch_1_16,256,512,4096,4352,65536,NDVI,-0.39453125,22935,9108,0.01167405443014638,12421,0.02036618129698045
0,patch_1_17,256,512,4352,4608,65536,MSAVI,-0.21484375,39727,,,,
0,patch_1_17,256,512,4352,4608,65536,NDVI,-0.48828125,24651,14048,0.012397694133285606,15153,0.017337241401547576
0,patch_1_18,256,512,4608,4864,65536,MSAVI,-0.19140625,40625,,,,
0,patch_1_18,256,512,4608,4864,65536,NDVI,-0.65234375,20362,8564,0.010344060214759088,65536,0.01672611589978923
0,patch_1_19,256,512,4864,5120,65536,MSAVI,-0.07421875,43396,,,,
0,patch_1_19,256,512,4864,5120,65536,NDVI,-0.50390625,21252,15594,0.017615235538263205,16308,0.023672799177394843
0,patch_1_20,256,512,5120,5376,65536,MSAVI,-0.11328125,49912,,,,
0,patch_1_20,256,512,5120,5376,65536,NDVI,-0.45703125,14167,13949,0.022424211338565606,65536,0.0292276058081795
0,patch_1_21,256,512,5376,5632,65536,MSAVI,-0.26953125,47888,,,,
0,patch_1_21,256,512,5376,5632,65536,NDVI,-0.62109375,13271,6685,0.0226669688423127,7022,0.02657318756654689
0,patch_1_22,256,512,5632,5888,65536,MSAVI,-0.12890625,42335,,,,
0,patch_1_22,256,512,5632,5888,65536,NDVI,-0.59765625,20647,9080,0.014710517437099113,11066,0.019448806708145278
0,patch_1_23,256,512,5888,6144,65536,MSAVI,-0.08203125,41405,,,,
0,patch_1_23,256,512,5888,6144,65536,NDVI,-0.51171875,23069,14675,0.015166184625529128,17262,0.022477519301405208
0,patch_1_24,256,512,6144,6400,65536,MSAVI,-0.13671875,42385,,,,
0,patch_1_24,256,512,6144,6400,65536,NDVI,-0.61328125,18622,7624,0.014760698804552858,9835,0.020879650212432516
0,patch_1_25,256,512,6400,6656,65536,MSAVI,-0.14453125,40018,,,,
0,patch_1_25,256,512,6400,6656,65536,NDVI,-0.61328125,19255,4821,0.012022222302621843,6939,0.0164114498318505
0,patch_1_26,256,512,6656,6912,65536,MSAVI,0.05078125,46896,,,,
0,patch_1_26,256,512,6656,6912,65536,NDVI,-0.42578125,18543,12552,0.022311109563508305,13290,0.028482027229268597
0,patch_2_1,512,768,256,512,65536,MSAVI,-0.05078125,49102,,,,
0,patch_2_1,512,768,256,512,65536,NDVI,-0.38671875,16148,12042,0.023173523214995467,11944,0.024716453614733402
0,patch_2_2,512,768,512,768,65536,MSAVI,-0.05859375,48649,,,,
0,patch_2_2,512,768,512,768,65536,NDVI,-0.45703125,16008,13109,0.022256225544996316,65536,0.024161609927676075
0,patch_2_3,512,768,768,1024,65536,MSAVI,-0.16796875,42215,,,,
0,patch_2_3,512,768,768,1024,65536,NDVI,-0.67578125,11768,7381,0.015970522665684522,7769,0.01962702498814911
0,patch_2_4,512,768,1024,1280,65536,MSAVI,-0.18359375,45605,,,,
0,patch_2_4,512,768,1024,1280,65536,NDVI,-0.61328125,10689,7772,0.018300784845622087,7920,0.02206300715381762
0,patch_2_5,512,768,1280,1536,65536,MSAVI,-0.05078125,43838,,,,
0,patch_2_5,512,768,1280,1536,65536,NDVI,-0.44140625,18751,15089,0.016450275763367064,15034,0.021786951938029347
0,patch_2_6,512,768,1536,1792,65536,MSAVI,-0.16015625,40506,,,,
0,patch_2_6,512,768,1536,1792,65536,NDVI,-0.62109375,15168,9441,0.010459119879573334,10623,0.016337797416648175
0,patch_2_7,512,768,1792,2048,65536,MSAVI,-0.12890625,42022,,,,
0,patch_2_7,512,768,1792,2048,65536,NDVI,-0.61328125,21522,10224,0.015473858533130158,11848,0.020065553374763928
0,patch_2_8,512,768,2048,2304,65536,MSAVI,-0.18359375,48571,,,,
0,patch_2_8,512,768,2048,2304,65536,NDVI,-0.56640625,16890,9883,0.014245750217227543,9995,0.02146646530959523
0,patch_2_9,512,768,2304,2560,65536,MSAVI,-0.25390625,43880,,,,
0,patch_2_9,512,768,2304,2560,65536,NDVI,-0.80078125,18393,9392,0.013699719002946337,9921,0.0174636653775517
0,patch_2_10,512,768,2560,2816,65536,MSAVI,-0.27734375,50865,,,,
0,patch_2_10,512,768,2560,2816,65536,NDVI,-0.69140625,14440,5044,0.018470321999067382,5091,0.024019121347009106
0,patch_2_11,512,768,2816,3072,65536,MSAVI,-0.18359375,43035,,,,
0,patch_2_11,512,768,2816,3072,65536,NDVI,-0.58984375,21854,8671,0.014356648613463058,12704,0.022105429174242963
0,patch_2_12,512,768,3072,3328,65536,MSAVI,-0.10546875,39776,,,,
0,patch_2_12,512,768,3072,3328,65536,NDVI,-0.50390625,25351,10831,0.011160879026442569,12246,0.017093129480502817
0,patch_2_13,512,768,3328,3584,65536,MSAVI,-0.16796875,38233,,,,
0,patch_2_13,512,768,3328,3584,65536,NDVI,-0.51953125,27247,4864,0.008669017761386622,9423,0.014600786419991546
0,patch_2_14,512,768,3584,3840,65536,MSAVI,-0.20703125,37541,,,,
0,patch_2_14,512,768,3584,3840,65536,NDVI,-0.54296875,27926,10303,0.010280333192479424,14765,0.01584858027306804
0,patch_2_15,512,768,3840,4096,65536,MSAVI,-0.12109375,43698,,,,
0,patch_2_15,512,768,3840,4096,65536,NDVI,-0.55078125,21739,11140,0.017591851913966394,13568,0.023685131558567107
0,patch_2_16,512,768,4096,4352,65536,MSAVI,-0.08203125,41231,,,,
0,patch_2_16,512,768,4096,4352,65536,NDVI,-0.47265625,24280,9445,0.011231405561471841,12067,0.017114758513345568
0,patch_2_17,512,768,4352,4608,65536,MSAVI,-0.23828125,39737,,,,
0,patch_2_17,512,768,4352,4608,65536,NDVI,-0.51953125,25223,7991,0.009181819811333189,12010,0.015024680661361645
0,patch_2_18,512,768,4608,4864,65536,MSAVI,-0.14453125,42557,,,,
0,patch_2_18,512,768,4608,4864,65536,NDVI,-0.44140625,22876,12287,0.013986590369322233,14731,0.02095963687516375
0,patch_2_19,512,768,4864,5120,65536,MSAVI,-0.12890625,45687,,,,
0,patch_2_19,512,768,4864,5120,65536,NDVI,-0.46484375,19847,10639,0.01789875520110086,12378,0.023127317868081892
0,patch_2_20,512,768,5120,5376,65536,MSAVI,-0.24609375,45975,,,,
0,patch_2_20,512,768,5120,5376,65536,NDVI,-0.51171875,19433,9985,0.016245921964166576,10832,0.02161619855643812
0,patch_2_21,512,768,5376,5632,65536,MSAVI,-0.29296875,43872,,,,
0,patch_2_21,512,768,5376,5632,65536,NDVI,-0.58203125,19586,9254,0.015214864318084415,10430,0.021051824950046594
0,patch_2_22,512,768,5632,5888,65536,MSAVI,-0.08984375,44026,,,,
0,patch_2_22,512,768,5632,5888,65536,NDVI,-0.50390625,21294,11620,0.016760261184801534,13306,0.02298232060363259
0,patch_2_23,512,768,5888,6144,65536,MSAVI,-0.13671875,43767,,,,
0,patch_2_23,512,768,5888,6144,65536,NDVI,-0.64453125,10247,3941,0.016870023790247657,5153,0.020623283780361046
0,patch_2_24,512,768,6144,6400,65536,MSAVI,-0.21484375,41512,,,,
0,patch_2_24,512,768,6144,6400,65536,NDVI,-0.57421875,17022,11255,0.01504395494547564,11483,0.02016480148941044
0,patch_2_25,512,768,6400,6656,65536,MSAVI,-0.19140625,39062,,,,
0,patch_2_25,512,768,6400,6656,65536,NDVI,-0.51171875,25462,12253,0.01175871669192216,14795,0.017928672285012354
0,patch_2_26,512,768,6656,6912,65536,MSAVI,-0.10546875,43858,,,,
0,patch_2_26,512,768,6656,6912,65536,NDVI,-0.62890625,19404,9202,0.016666277054002837,11348,0.022264446096901536
0,patch_2_27,512,768,6912,7168,65536,MSAVI,-0.08203125,43455,,,,
0,patch_2_27,512,768,6912,7168,65536,NDVI,-0.53515625,21772,9788,0.017341924210738574,10581,0.022974841602423107
0,patch_2_28,512,768,7168,7424,65536,MSAVI,-0.11328125,45482,,,,
0,patch_2_28,512,768,7168,7424,65536,NDVI,-0.55859375,19175,10000,0.019477941095464107,10803,0.02563972462360528
0,patch_3_1,768,1024,256,512,65536,MSAVI,-0.19140625,43032,,,,
0,patch_3_1,768,1024,256,512,65536,NDVI,-0.55859375,21007,8270,0.014508410202689184,10557,0.020075227473278334
0,patch_3_2,768,1024,512,768,65536,MSAVI,-0.19140625,44822,,,,
0,patch_3_2,768,1024,512,768,65536,NDVI,-0.56640625,17411,10392,0.017954327212569343,10964,0.02265765909414391
0,patch_3_3,768,1024,768,1024,65536,MSAVI,-0.23828125,42224,,,,
0,patch_3_3,768,1024,768,1024,65536,NDVI,-0.44921875,9000,5595,0.012432812866536774,7190,0.018749838628654453
0,patch_3_4,768,1024,1024,1280,65536,MSAVI,-0.34765625,41955,,,,
0,patch_3_4,768,1024,1024,1280,65536,NDVI,0.33984375,8978,3109,0.01032004123677431,4852,0.016754678502325426
0,patch_3_5,768,1024,1280,1536,65536,MSAVI,-0.28515625,41088,,,,
0,patch_3_5,768,1024,1280,1536,65536,NDVI,-0.04296875,8450,2079,0.01146326664043179,3091,0.014824075625075706
0,patch_3_6,768,1024,1536,1792,65536,MSAVI,-0.21484375,43844,,,,
0,patch_3_6,768,1024,1536,1792,65536,NDVI,-0.58203125,11138,5088,0.014740198593592796,5764,0.018684744725694175
0,patch_3_7,768,1024,1792,2048,65536,MSAVI,-0.30859375,42078,,,,
0,patch_3_7,768,1024,1792,2048,65536,NDVI,-0.55078125,9353,5532,0.01203417709403519,6944,0.017787615572705945
0,patch_3_8,768,1024,2048,2304,65536,MSAVI,-0.19140625,53098,,,,
0,patch_3_8,768,1024,2048,2304,65536,NDVI,-0.54296875,10384,9468,0.027566452675389944,8912,0.030264905412685797
0,patch_3_9,768,1024,2304,2560,65536,MSAVI,-0.17578125,41670,,,,
0,patch_3_9,768,1024,2304,2560,65536,NDVI,-0.64453125,19601,11021,0.01574812606419773,12385,0.020497004950920328
0,patch_3_10,768,1024,2560,2816,65536,MSAVI,-0.21484375,45079,,,,
0,patch_3_10,768,1024,2560,2816,65536,NDVI,-0.72265625,19577,7645,0.016082177411408147,8148,0.02067552337935588
0,patch_3_11,768,1024,2816,3072,65536,MSAVI,-0.12890625,44427,,,,
0,patch_3_11,768,1024,2816,3072,65536,NDVI,-0.65234375,20819,6109,0.015132547918926223,7826,0.020939045642757392
0,patch_3_12,768,1024,3072,3328,65536,MSAVI,-0.19140625,41155,,,,
0,patch_3_12,768,1024,3072,3328,65536,NDVI,-0.46484375,24373,2497,0.009493892807198784,4353,0.014070483034232598
0,patch_3_13,768,1024,3328,3584,65536,MSAVI,-0.16015625,40461,,,,
0,patch_3_13,768,1024,3328,3584,65536,NDVI,-0.42578125,25058,4418,0.01092406635051818,6898,0.015954709147987217
0,patch_3_14,768,1024,3584,3840,65536,MSAVI,-0.01953125,41277,,,,
0,patch_3_14,768,1024,3584,3840,65536,NDVI,-0.36328125,24192,4211,0.009959390360210152,7115,0.015048398655958362
0,patch_3_15,768,1024,3840,4096,65536,MSAVI,-0.23828125,45453,,,,
0,patch_3_15,768,1024,3840,4096,65536,NDVI,-0.49609375,19731,9250,0.0194687981778309,10801,0.02387920557142692
0,patch_3_16,768,1024,4096,4352,65536,MSAVI,-0.29296875,49613,,,,
0,patch_3_16,768,1024,4096,4352,65536,NDVI,-0.55078125,13852,10416,0.030645617017811266,65536,0.030057364633167383
0,patch_3_17,768,1024,4352,4608,65536,MSAVI,-0.13671875,45170,,,,
0,patch_3_17,768,1024,4352,4608,65536,NDVI,-0.49609375,17069,13976,0.02129140033459978,13197,0.02342317281693268
0,patch_3_18,768,1024,4608,4864,65536,MSAVI,-0.19140625,47091,,,,
0,patch_3_18,768,1024,4608,4864,65536,NDVI,-0.49609375,17653,14055,0.02333149307732127,13888,0.02654991230660156
0,patch_3_19,768,1024,4864,5120,65536,MSAVI,-0.24609375,45763,,,,
0,patch_3_19,768,1024,4864,5120,65536,NDVI,-0.54296875,19572,9804,0.018712605652671688,10620,0.024435279604458682
0,patch_3_20,768,1024,5120,5376,65536,MSAVI,-0.16796875,37962,,,,
0,patch_3_20,768,1024,5120,5376,65536,NDVI,-0.54296875,22649,16682,0.0106702630404035,18179,0.016392090114911773
0,patch_3_21,768,1024,5376,5632,65536,MSAVI,-0.21484375,43144,,,,
0,patch_3_21,768,1024,5376,5632,65536,NDVI,-0.52734375,7490,5517,0.01592610465245059,6561,0.02237719820904191
0,patch_3_22,768,1024,5632,5888,65536,MSAVI,-0.21484375,43407,,,,
0,patch_3_22,768,1024,5632,5888,65536,NDVI,-0.50390625,21164,11134,0.013724805600287063,11478,0.021056424111782213
0,patch_3_23,768,1024,5888,6144,65536,MSAVI,-0.23828125,44385,,,,
0,patch_3_23,768,1024,5888,6144,65536,NDVI,-0.64453125,9716,6492,0.019144850934288027,6764,0.023861401985036362
0,patch_3_24,768,1024,6144,6400,65536,MSAVI,-0.27734375,49910,,,,
0,patch_3_24,768,1024,6144,6400,65536,NDVI,-0.49609375,9812,8851,0.02615329394271633,8701,0.03058631112938115
0,patch_3_25,768,1024,6400,6656,65536,MSAVI,-0.06640625,38344,,,,
0,patch_3_25,768,1024,6400,6656,65536,NDVI,-0.37890625,27136,5221,0.0056973340020558955,10464,0.012838057568288569
0,patch_3_26,768,1024,6656,6912,65536,MSAVI,-0.25390625,39654,,,,
0,patch_3_26,768,1024,6656,6912,65536,NDVI,-0.50390625,25757,10854,0.01094945365408348,12968,0.016924233112222048
0,patch_3_27,768,1024,6912,7168,65536,MSAVI,-0.23046875,42105,,,,
0,patch_3_27,768,1024,6912,7168,65536,NDVI,-0.50390625,23397,8076,0.014586687806194432,8740,0.01872506331886553
0,patch_3_28,768,1024,7168,7424,65536,MSAVI,-0.19140625,41610,,,,
0,patch_3_28,768,1024,7168,7424,65536,NDVI,-0.51171875,23868,6877,0.012564889021427134,9336,0.01911064159911105
0,patch_4_1,1024,1280,256,512,65536,MSAVI,-0.19140625,41650,,,,
0,patch_4_1,1024,1280,256,512,65536,NDVI,-0.55078125,22779,9149,0.011273912807184303,10701,0.017467061061407066
0,patch_4_2,1024,1280,512,768,65536,MSAVI,-0.06640625,43323,,,,
0,patch_4_2,1024,1280,512,768,65536,NDVI,-0.45703125,21670,15722,0.019013510584512477,65536,0.022030435294199763
0,patch_4_3,1024,1280,768,1024,65536,MSAVI,-0.16796875,40786,,,,
0,patch_4_3,1024,1280,768,1024,65536,NDVI,-0.55859375,17199,11561,0.017586886880129354,10429,0.01898158182425355
0,patch_4_4,1024,1280,1024,1280,65536,MSAVI,-0.10546875,53876,,,,
0,patch_4_4,1024,1280,1024,1280,65536,NDVI,-0.49609375,11261,7721,0.021937355909918174,8028,0.02897183624613317
0,patch_4_5,1024,1280,1280,1536,65536,MSAVI,-0.23046875,49581,,,,
0,patch_4_5,1024,1280,1280,1536,65536,NDVI,-0.48046875,8360,6487,0.022973613854203448,6264,0.024771448446815225
0,patch_4_6,1024,1280,1536,1792,65536,MSAVI,-0.09765625,48116,,,,
0,patch_4_6,1024,1280,1536,1792,65536,NDVI,-0.48828125,12723,9268,0.024329009977066718,65536,0.027031152926319996
0,patch_4_7,1024,1280,1792,2048,65536,MSAVI,-0.12109375,53547,,,,
0,patch_4_7,1024,1280,1792,2048,65536,NDVI,-0.42578125,9521,8447,0.03564313183174611,65536,0.034990686548572125
0,patch_4_8,1024,1280,2048,2304,65536,MSAVI,-0.15234375,52133,,,,
0,patch_4_8,1024,1280,2048,2304,65536,NDVI,-0.44140625,5603,4945,0.02337023836528733,4452,0.024911179258666705
0,patch_4_9,1024,1280,2304,2560,65536,MSAVI,-0.16796875,42957,,,,
0,patch_4_9,1024,1280,2304,2560,65536,NDVI,-0.63671875,16049,4867,0.011761202541665322,6055,0.016807003546293248
0,patch_4_10,1024,1280,2560,2816,65536,MSAVI,-0.30078125,43782,,,,
0,patch_4_10,1024,1280,2560,2816,65536,NDVI,-0.65234375,21102,9897,0.014437647005895865,11828,0.01922515299617547
0,patch_4_11,1024,1280,2816,3072,65536,MSAVI,-0.13671875,46344,,,,
0,patch_4_11,1024,1280,2816,3072,65536,NDVI,-0.47265625,19082,10486,0.0225169401303196,11022,0.026058766317072685
0,patch_4_12,1024,1280,3072,3328,65536,MSAVI,-0.28515625,39404,,,,
0,patch_4_12,1024,1280,3072,3328,65536,NDVI,-0.58984375,25007,6837,0.008436238980117625,10320,0.015187254102133382
0,patch_4_13,1024,1280,3328,3584,65536,MSAVI,-0.20703125,40170,,,,
0,patch_4_13,1024,1280,3328,3584,65536,NDVI,-0.51953125,24325,6377,0.011462816423106856,9956,0.01761629837496481
0,patch_4_14,1024,1280,3584,3840,65536,MSAVI,0.00390625,41404,,,,
0,patch_4_14,1024,1280,3584,3840,65536,NDVI,-0.36328125,24074,11068,0.012229159099405418,14200,0.018875423705159267
0,patch_4_15,1024,1280,3840,4096,65536,MSAVI,-0.28515625,46892,,,,
0,patch_4_15,1024,1280,3840,4096,65536,NDVI,-0.60546875,18049,3740,0.02137495091435554,5157,0.025310219264593203
