,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
0,patch_0_0,0,256,0,256,65536,MSAVI,0.0,65536,,,,
0,patch_0_0,0,256,0,256,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_1,0,256,256,512,65536,MSAVI,0.0,65536,,,,
0,patch_0_1,0,256,256,512,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_2,0,256,512,768,65536,MSAVI,0.0,65536,,,,
0,patch_0_2,0,256,512,768,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_0_24,0,256,6144,6400,65395,MSAVI,-0.12890625,36343,,,,
0,patch_0_24,0,256,6144,6400,65395,NDVI,-0.68359375,17990,20780,0.01357852884010273,21594,0.019273454095726478
0,patch_0_25,0,256,6400,6656,65536,MSAVI,0.05078125,31580,,,,
0,patch_0_25,0,256,6400,6656,65536,NDVI,-0.61328125,12305,22854,0.006382534995021422,26055,0.01620692718758207
0,patch_0_26,0,256,6656,6912,65536,MSAVI,0.11328125,36484,,,,
0,patch_0_26,0,256,6656,6912,65536,NDVI,-0.61328125,10969,22151,0.019604003868811753,65536,0.021997485099800873
0,patch_0_27,0,256,6912,7168,65536,MSAVI,-0.23046875,37637,,,,
0,patch_0_27,0,256,6912,7168,65536,NDVI,-0.66796875,13207,19702,0.015375275474355118,20871,0.023507621717503258
0,patch_0_28,0,256,7168,7424,65536,MSAVI,-0.30078125,35161,,,,
0,patch_0_28,0,256,7168,7424,65536,NDVI,-0.69140625,10293,16202,0.009027351566266939,18985,0.019365940809328103
0,patch_0_29,0,256,7424,7680,65390,MSAVI,-0.20703125,40418,,,,
0,patch_0_29,0,256,7424,7680,65390,NDVI,-0.58984375,13101,17742,0.018165401306108664,65536,0.02537138986322915
0,patch_1_0,256,512,0,256,65536,MSAVI,0.0,65536,,,,
0,patch_1_0,256,512,0,256,65536,NDVI,0.0,0,0,0.0,0,0.009808042386020944
0,patch_1_4,256,512,1024,1280,65536,MSAVI,-0.17578125,32636,,,,
0,patch_1_4,256,512,1024,1280,65536,NDVI,-0.62109375,30717,31137,0.010720886885822234,33922,0.021367573668524376
0,patch_1_5,256,512,1280,1536,65536,MSAVI,-0.20703125,36052,,,,
0,patch_1_5,256,512,1280,1536,65536,NDVI,-0.62109375,28899,18076,0.008423655619932482,22327,0.01885182801191887
0,patch_1_6,256,512,1536,1792,65536,MSAVI,0.06640625,35011,,,,
0,patch_1_6,256,512,1536,1792,65536,NDVI,-0.66796875,30037,16138,0.004789574504325322,25557,0.013565177437811327
0,patch_1_7,256,512,1792,2048,65536,MSAVI,-0.06640625,36500,,,,
0,patch_1_7,256,512,1792,2048,65536,NDVI,-0.68359375,28520,14811,0.00804753389757365,17840,0.013545241412657644
0,patch_1_8,256,512,2048,2304,65536,MSAVI,-0.22265625,34877,,,,
0,patch_1_8,256,512,2048,2304,65536,NDVI,-0.73046875,29917,10844,0.00442126107952584,15238,0.011421100993158156
0,patch_1_9,256,512,2304,2560,65536,MSAVI,0.13671875,35391,,,,
0,patch_1_9,256,512,2304,2560,65536,NDVI,-0.56640625,30143,12301,0.005984695507731716,16633,0.01305911455571318
0,patch_1_10,256,512,2560,2816,65536,MSAVI,-0.19140625,38963,,,,
0,patch_1_10,256,512,2560,2816,65536,NDVI,-0.65234375,26132,15827,0.0106667826847896,20321,0.01917421463472721
0,patch_1_11,256,512,2816,3072,65536,MSAVI,-0.08203125,34846,,,,
0,patch_1_11,256,512,2816,3072,65536,NDVI,-0.63671875,29683,20192,0.007451248364490626,23358,0.016752911933970577
0,patch_1_12,256,512,3072,3328,65536,MSAVI,-0.19140625,37342,,,,
0,patch_1_12,256,512,3072,3328,65536,NDVI,-0.66796875,24098,17406,0.009180152505848388,20638,0.0192763197372256
0,patch_1_13,256,512,3328,3584,65536,MSAVI,-0.16015625,34057,,,,
0,patch_1_13,256,512,3328,3584,65536,NDVI,-0.70703125,17551,16434,0.0052087610734039,22190,0.016382054706445354
0,patch_1_14,256,512,3584,3840,65536,MSAVI,0.01171875,36102,,,,
0,patch_1_14,256,512,3584,3840,65536,NDVI,-0.70703125,26232,20441,0.00764267810690622,23525,0.018020464703397354
0,patch_1_15,256,512,3840,4096,65536,MSAVI,-0.13671875,30487,,,,
0,patch_1_15,256,512,3840,4096,65536,NDVI,-0.60546875,26475,24681,0.0047998926474640685,30843,0.017274304617113795
0,patch_1_16,256,512,4096,4352,65536,MSAVI,-0.24609375,38343,,,,
0,patch_1_16,256,512,4096,4352,65536,NDVI,-0.61328125,14080,19401,0.022601027344308966,19536,0.027116077529418803
0,patch_1_17,256,512,4352,4608,65536,MSAVI,-0.01171875,33802,,,,
0,patch_1_17,256,512,4352,4608,65536,NDVI,-0.57421875,23675,28027,0.02203687639197624,27028,0.024457107492140473
0,patch_1_18,256,512,4608,4864,65536,MSAVI,-0.06640625,31599,,,,
0,patch_1_18,256,512,4608,4864,65536,NDVI,-0.61328125,32934,28681,0.007919456100042896,31437,0.018551655073696022
0,patch_1_19,256,512,4864,5120,65536,MSAVI,-0.05078125,39083,,,,
0,patch_1_19,256,512,4864,5120,65536,NDVI,-0.58203125,10874,22059,0.025317927229909803,21852,0.030616689689047405
0,patch_1_20,256,512,5120,5376,65536,MSAVI,-0.09765625,33129,,,,
0,patch_1_20,256,512,5120,5376,65536,NDVI,-0.63671875,23084,27271,0.014350665993749248,65536,0.021989474189754693
0,patch_1_21,256,512,5376,5632,65536,MSAVI,0.01953125,35985,,,,
0,patch_1_21,256,512,5376,5632,65536,NDVI,-0.69921875,29191,17717,0.008471348270606902,21271,0.017969196474213717
0,patch_1_22,256,512,5632,5888,65536,MSAVI,-0.05078125,36396,,,,
0,patch_1_22,256,512,5632,5888,65536,NDVI,-0.60546875,28129,22887,0.011599046833591961,23761,0.019305939882406226
0,patch_1_23,256,512,5888,6144,65536,MSAVI,0.04296875,33667,,,,
0,patch_1_23,256,512,5888,6144,65536,NDVI,-0.67578125,18494,14253,0.00441045156494857,20135,0.013926582566034518
0,patch_1_24,256,512,6144,6400,65536,MSAVI,-0.10546875,33060,,,,
0,patch_1_24,256,512,6144,6400,65536,NDVI,-0.65234375,14543,21771,0.008375588461694422,26052,0.019463284985223567
0,patch_1_25,256,512,6400,6656,65536,MSAVI,0.13671875,29697,,,,
0,patch_1_25,256,512,6400,6656,65536,NDVI,-0.56640625,13324,24798,0.003649637119023025,30876,0.018059800963871053
0,patch_1_26,256,512,6656,6912,65536,MSAVI,-0.07421875,32257,,,,
0,patch_1_26,256,512,6656,6912,65536,NDVI,-0.38671875,9153,17115,0.003307170899987083,23909,0.016032619885972543
0,patch_1_27,256,512,6912,7168,65536,MSAVI,-0.28515625,32379,,,,
0,patch_1_27,256,512,6912,7168,65536,NDVI,-0.64453125,14283,20470,0.009267187645457586,22258,0.01648773844746773
0,patch_1_28,256,512,7168,7424,65536,MSAVI,-0.25390625,34407,,,,
0,patch_1_28,256,512,7168,7424,65536,NDVI,-0.67578125,12257,19066,0.01155380974329806,20815,0.019800250708126244
0,patch_1_29,256,512,7424,7680,65536,MSAVI,-0.19921875,34985,,,,
0,patch_1_29,256,512,7424,7680,65536,NDVI,-0.63671875,10870,20380,0.014104841670615348,20874,0.01820975243693218
0,patch_1_30,256,512,7680,7936,65536,MSAVI,-0.06640625,35512,,,,
0,patch_1_30,256,512,7680,7936,65536,NDVI,-0.48828125,10291,18550,0.014778224507303594,65536,0.02006221443841405
0,patch_1_31,256,512,7936,8192,65536,MSAVI,-0.16015625,33496,,,,
0,patch_1_31,256,512,7936,8192,65536,NDVI,-0.51953125,9589,22651,0.01067512940610027,24134,0.017745363538575087
0,patch_1_32,256,512,8192,8448,65536,MSAVI,0.00390625,36041,,,,
0,patch_1_32,256,512,8192,8448,65536,NDVI,-0.55078125,23252,27650,0.02108325046158445,65536,0.023480867122307347
0,patch_1_33,256,512,8448,8704,65536,MSAVI,-0.07421875,31422,,,,
0,patch_1_33,256,512,8448,8704,65536,NDVI,-0.47265625,11173,14485,0.0034325633815355805,22224,0.012308148520475626
0,patch_2_2,512,768,512,768,65536,MSAVI,-0.26171875,34851,,,,
0,patch_2_2,512,768,512,768,65536,NDVI,-0.73046875,10893,14373,0.008716626298271246,65536,0.014648467485951056
0,patch_2_3,512,768,768,1024,65536,MSAVI,-0.12109375,31374,,,,
0,patch_2_3,512,768,768,1024,65536,NDVI,-0.62109375,33006,29469,0.009238031896860746,34398,0.018889999224998122
0,patch_2_4,512,768,1024,1280,65536,MSAVI,-0.00390625,33568,,,,
0,patch_2_4,512,768,1024,1280,65536,NDVI,-0.61328125,25363,23339,0.007315606801349836,28775,0.017335156999949586
0,patch_2_5,512,768,1280,1536,65536,MSAVI,-0.05078125,34520,,,,
0,patch_2_5,512,768,1280,1536,65536,NDVI,-0.63671875,26654,17807,0.0056963571687264625,22381,0.017390153275276987
0,patch_2_6,512,768,1536,1792,65536,MSAVI,-0.05078125,29303,,,,
0,patch_2_6,512,768,1536,1792,65536,NDVI,-0.58203125,28588,33109,0.008511116467815202,36148,0.017172718466606646
0,patch_2_7,512,768,1792,2048,65536,MSAVI,-0.02734375,31228,,,,
0,patch_2_7,512,768,1792,2048,65536,NDVI,-0.64453125,29598,29445,0.0050438962652899905,35484,0.017151658492167154
0,patch_2_8,512,768,2048,2304,65536,MSAVI,0.04296875,30203,,,,
0,patch_2_8,512,768,2048,2304,65536,NDVI,-0.63671875,29202,20057,0.0023533735211304085,28089,0.011712045777583197
0,patch_2_9,512,768,2304,2560,65536,MSAVI,-0.05859375,32753,,,,
0,patch_2_9,512,768,2304,2560,65536,NDVI,-0.66015625,29701,12370,0.003923317108259411,19274,0.013153534285676588
0,patch_2_10,512,768,2560,2816,65536,MSAVI,-0.07421875,34575,,,,
0,patch_2_10,512,768,2560,2816,65536,NDVI,-0.67578125,30342,17286,0.007241850381051837,23073,0.01599778215293829
0,patch_2_11,512,768,2816,3072,65536,MSAVI,0.01953125,37035,,,,
0,patch_2_11,512,768,2816,3072,65536,NDVI,-0.64453125,26873,17083,0.010135672783261357,21333,0.01850963811296119
0,patch_2_12,512,768,3072,3328,65536,MSAVI,0.00390625,38376,,,,
0,patch_2_12,512,768,3072,3328,65536,NDVI,-0.72265625,20895,15786,0.0130244423036803,18501,0.021402756693394753
0,patch_2_13,512,768,3328,3584,65536,MSAVI,-0.12890625,39777,,,,
0,patch_2_13,512,768,3328,3584,65536,NDVI,-0.74609375,18275,17165,0.015115321312033192,19391,0.024120968850178087
0,patch_2_14,512,768,3584,3840,65536,MSAVI,-0.13671875,45115,,,,
0,patch_2_14,512,768,3584,3840,65536,NDVI,-0.69140625,20054,12385,0.018538129176260812,12670,0.02472465986410896
0,patch_2_15,512,768,3840,4096,65536,MSAVI,-0.15234375,30868,,,,
0,patch_2_15,512,768,3840,4096,65536,NDVI,-0.68359375,26630,18619,0.0010141914292532417,29285,0.014250362952679313
0,patch_2_16,512,768,4096,4352,65536,MSAVI,-0.12109375,30807,,,,
0,patch_2_16,512,768,4096,4352,65536,NDVI,-0.62890625,25453,20243,0.0003174414269284942,32600,0.013345539079494956
0,patch_2_17,512,768,4352,4608,65536,MSAVI,-0.25390625,35323,,,,
0,patch_2_17,512,768,4352,4608,65536,NDVI,-0.62890625,20775,26220,0.021609717956073637,65536,0.024392065494552473
0,patch_2_18,512,768,4608,4864,65536,MSAVI,0.02734375,37523,,,,
0,patch_2_18,512,768,4608,4864,65536,NDVI,-0.59765625,27921,16029,0.00894610213698327,19930,0.019509749611550026
0,patch_2_19,512,768,4864,5120,65536,MSAVI,-0.13671875,38031,,,,
0,patch_2_19,512,768,4864,5120,65536,NDVI,-0.69140625,22993,15417,0.011443409146037406,17541,0.020902853189462278
0,patch_2_20,512,768,5120,5376,65536,MSAVI,-0.16015625,35530,,,,
0,patch_2_20,512,768,5120,5376,65536,NDVI,-0.66015625,26029,23894,0.012527043632721807,26246,0.022546765925285567
0,patch_2_21,512,768,5376,5632,65536,MSAVI,0.04296875,39663,,,,
0,patch_2_21,512,768,5376,5632,65536,NDVI,-0.68359375,24388,15882,0.014264177604861386,16775,0.020242873837743397
0,patch_2_22,512,768,5632,5888,65536,MSAVI,-0.22265625,35106,,,,
0,patch_2_22,512,768,5632,5888,65536,NDVI,-0.67578125,17972,22251,0.008084302312727887,23859,0.0156273001473331
0,patch_2_23,512,768,5888,6144,65536,MSAVI,-0.05859375,35597,,,,
0,patch_2_23,512,768,5888,6144,65536,NDVI,-0.66796875,29203,15803,0.008018006447351622,18959,0.017632435954158726
0,patch_2_24,512,768,6144,6400,65536,MSAVI,-0.22265625,34118,,,,
0,patch_2_24,512,768,6144,6400,65536,NDVI,-0.66015625,16508,20220,0.01146273368112552,22836,0.020709412402960925
0,patch_2_25,512,768,6400,6656,65536,MSAVI,-0.04296875,31771,,,,
0,patch_2_25,512,768,6400,6656,65536,NDVI,-0.58203125,18181,24354,0.009423106389946548,26359,0.017251049622976994
0,patch_2_26,512,768,6656,6912,65536,MSAVI,-0.04296875,32607,,,,
0,patch_2_26,512,768,6656,6912,65536,NDVI,-0.57421875,12485,23596,0.01007145275937893,65487,0.019369804375622107
0,patch_2_27,512,768,6912,7168,65536,MSAVI,-0.05859375,32077,,,,
0,patch_2_27,512,768,6912,7168,65536,NDVI,-0.55859375,11675,19001,0.005082014640056226,24083,0.017792324684709676
0,patch_2_28,512,768,7168,7424,65536,MSAVI,-0.08984375,31319,,,,
0,patch_2_28,512,768,7168,7424,65536,NDVI,-0.42578125,11405,17796,0.0051490046037041826,22290,0.013505763427010958
0,patch_2_29,512,768,7424,7680,65536,MSAVI,-0.16015625,37874,,,,
0,patch_2_29,512,768,7424,7680,65536,NDVI,-0.76953125,20507,25054,0.015622785776286258,65536,0.02318347344497146
0,patch_2_30,512,768,7680,7936,65536,MSAVI,-0.16796875,34947,,,,
0,patch_2_30,512,768,7680,7936,65536,NDVI,-0.66015625,9439,16257,0.009566399314734866,18392,0.019314402836630773
0,patch_2_31,512,768,7936,8192,65536,MSAVI,-0.19140625,35164,,,,
0,patch_2_31,512,768,7936,8192,65536,NDVI,-0.67578125,11401,17615,0.009132434948238302,21457,0.021027235974062808
0,patch_2_32,512,768,8192,8448,65536,MSAVI,-0.12109375,34462,,,,
0,patch_2_32,512,768,8192,8448,65536,NDVI,-0.66796875,13141,14698,0.00565053104719368,18981,0.01455406260213249
0,patch_2_33,512,768,8448,8704,65536,MSAVI,-0.07421875,29902,,,,
0,patch_2_33,512,768,8448,8704,65536,NDVI,-0.50390625,12247,14515,0.00012545555721360513,26362,0.011717690142682119
0,patch_3_1,768,1024,256,512,65536,MSAVI,-0.03515625,37177,,,,
0,patch_3_1,768,1024,256,512,65536,NDVI,-0.66796875,8245,14463,0.01626359825592827,15250,0.021375795032872125
0,patch_3_2,768,1024,512,768,65536,MSAVI,-0.07421875,50421,,,,
0,patch_3_2,768,1024,512,768,65536,NDVI,-0.55078125,11683,13110,0.02924357049574819,13177,0.03772514143479766
0,patch_3_3,768,1024,768,1024,65536,MSAVI,-0.26953125,40434,,,,
0,patch_3_3,768,1024,768,1024,65536,NDVI,-0.69140625,22779,20515,0.015667229054748363,21701,0.02360382123449467
0,patch_3_4,768,1024,1024,1280,65536,MSAVI,-0.05078125,33764,,,,
0,patch_3_4,768,1024,1024,1280,65536,NDVI,-0.59765625,25055,24688,0.008235536425499318,28092,0.019491128143912573
0,patch_3_5,768,1024,1280,1536,65536,MSAVI,0.06640625,39207,,,,
0,patch_3_5,768,1024,1280,1536,65536,NDVI,-0.65234375,16780,20579,0.015350461964707574,21540,0.022853029703986838
0,patch_3_6,768,1024,1536,1792,65536,MSAVI,0.16796875,34293,,,,
0,patch_3_6,768,1024,1536,1792,65536,NDVI,-0.68359375,23272,27237,0.01027635044557526,27257,0.021315936047410583
0,patch_3_7,768,1024,1792,2048,65536,MSAVI,-0.08203125,40719,,,,
0,patch_3_7,768,1024,1792,2048,65536,NDVI,-0.60546875,16181,15679,0.02033043330644048,16727,0.024753374572149184
0,patch_3_8,768,1024,2048,2304,65536,MSAVI,-0.10546875,33729,,,,
0,patch_3_8,768,1024,2048,2304,65536,NDVI,-0.58984375,26638,18053,0.00603974458901875,21101,0.013988476289185592
0,patch_3_9,768,1024,2304,2560,65536,MSAVI,-0.17578125,34486,,,,
0,patch_3_9,768,1024,2304,2560,65536,NDVI,-0.66015625,27505,14621,0.006338957917570373,20053,0.014310882427663513
0,patch_3_10,768,1024,2560,2816,65536,MSAVI,-0.13671875,34993,,,,
0,patch_3_10,768,1024,2560,2816,65536,NDVI,-0.65234375,28260,22911,0.007974348473768045,26895,0.018914875185986224
0,patch_3_11,768,1024,2816,3072,65536,MSAVI,-0.18359375,34193,,,,
0,patch_3_11,768,1024,2816,3072,65536,NDVI,-0.64453125,29241,19952,0.005418758209344121,25754,0.015396877120239405
0,patch_3_12,768,1024,3072,3328,65536,MSAVI,-0.12109375,43056,,,,
0,patch_3_12,768,1024,3072,3328,65536,NDVI,-0.62109375,14161,10817,0.015407632104433341,12201,0.024311253539607253
0,patch_3_13,768,1024,3328,3584,65536,MSAVI,-0.17578125,36335,,,,
0,patch_3_13,768,1024,3328,3584,65536,NDVI,-0.70703125,19649,15656,0.009173334524006704,19131,0.01739108082994628
0,patch_3_14,768,1024,3584,3840,65536,MSAVI,-0.20703125,36109,,,,
0,patch_3_14,768,1024,3584,3840,65536,NDVI,-0.69140625,24736,16892,0.007759977651225214,21508,0.016708813964526587
0,patch_3_15,768,1024,3840,4096,65536,MSAVI,-0.16796875,39157,,,,
0,patch_3_15,768,1024,3840,4096,65536,NDVI,-0.69921875,21883,11183,0.012635973374356402,16078,0.020876884776192706
0,patch_3_16,768,1024,4096,4352,65536,MSAVI,-0.02734375,34967,,,,
0,patch_3_16,768,1024,4096,4352,65536,NDVI,-0.63671875,30081,11522,0.005576637830289999,18760,0.014497825838400119
0,patch_3_17,768,1024,4352,4608,65536,MSAVI,-0.06640625,37055,,,,
0,patch_3_17,768,1024,4352,4608,65536,NDVI,-0.68359375,26882,18837,0.015621273813673495,20163,0.021061401567556842
0,patch_3_18,768,1024,4608,4864,65536,MSAVI,-0.33984375,36234,,,,
0,patch_3_18,768,1024,4608,4864,65536,NDVI,-0.69140625,26791,21901,0.018740635471967165,21829,0.02585190649818664
0,patch_3_19,768,1024,4864,5120,65536,MSAVI,-0.06640625,40592,,,,
0,patch_3_19,768,1024,4864,5120,65536,NDVI,-0.56640625,18681,22169,0.027590231081332323,21692,0.0310223690239049
0,patch_3_20,768,1024,5120,5376,65536,MSAVI,-0.07421875,30519,,,,
0,patch_3_20,768,1024,5120,5376,65536,NDVI,-0.58203125,34543,3031,-0.00572867337597921,31046,0.01528980722009829
0,patch_3_21,768,1024,5376,5632,65536,MSAVI,-0.14453125,35644,,,,
0,patch_3_21,768,1024,5376,5632,65536,NDVI,-0.69921875,26823,19640,0.007102636149272604,22722,0.01683441690928661
0,patch_3_22,768,1024,5632,5888,65536,MSAVI,-0.12890625,38398,,,,
0,patch_3_22,768,1024,5632,5888,65536,NDVI,-0.63671875,26865,22967,0.012439754452515217,24716,0.020933584194588656
0,patch_3_23,768,1024,5888,6144,65536,MSAVI,-0.01171875,32879,,,,
0,patch_3_23,768,1024,5888,6144,65536,NDVI,-0.55078125,32532,21622,0.007657998017822951,26692,0.01769593620913315
0,patch_3_24,768,1024,6144,6400,65536,MSAVI,-0.06640625,38931,,,,
0,patch_3_24,768,1024,6144,6400,65536,NDVI,-0.58203125,20011,17778,0.014864856915667968,65536,0.021877864887643705
0,patch_3_25,768,1024,6400,6656,65536,MSAVI,-0.06640625,26824,,,,
0,patch_3_25,768,1024,6400,6656,65536,NDVI,-0.61328125,15095,23295,0.0011014627220811424,31964,0.012008299549437468
0,patch_3_26,768,1024,6656,6912,65536,MSAVI,-0.17578125,39190,,,,
0,patch_3_26,768,1024,6656,6912,65536,NDVI,-0.63671875,16068,21150,0.017961386180077296,21567,0.029088805126183642
0,patch_3_27,768,1024,6912,7168,65536,MSAVI,-0.01171875,29091,,,,
0,patch_3_27,768,1024,6912,7168,65536,NDVI,-0.55859375,26391,17768,-0.0012448076470627234,34684,0.013345990372078093
0,patch_3_28,768,1024,7168,7424,65536,MSAVI,-0.05078125,30367,,,,
0,patch_3_28,768,1024,7168,7424,65536,NDVI,-0.57421875,15198,15074,-3.9670717086992546e-05,25212,0.011361530622133936
0,patch_3_29,768,1024,7424,7680,65536,MSAVI,-0.15234375,35446,,,,
