,patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
0,256_512_2560_2816,MSAVI,65536,34919,6962.0,41881.0,23655.0,best,0.5328216552734375,0.106231689453125,0.3609466552734375
1,256_512_2816_3072,MSAVI,65536,34994,9451.0,44445.0,21091.0,best,0.533966064453125,0.1442108154296875,0.3218231201171875
2,256_512_3072_3328,MSAVI,65536,32344,4809.0,37153.0,28383.0,best,0.4935302734375,0.0733795166015625,0.4330902099609375
3,256_512_3328_3584,MSAVI,65536,33018,9702.0,42720.0,22816.0,best,0.503814697265625,0.148040771484375,0.34814453125
4,256_512_3584_3840,MSAVI,65536,39399,7136.0,46535.0,19001.0,best,0.6011810302734375,0.10888671875,0.2899322509765625
5,256_512_3840_4096,MSAVI,65536,36617,6643.0,43260.0,22276.0,best,0.5587310791015625,0.1013641357421875,0.33990478515625
6,256_512_4096_4352,MSAVI,65536,37544,12014.0,49558.0,15978.0,best,0.5728759765625,0.183319091796875,0.243804931640625
7,256_512_4352_4608,MSAVI,65536,29787,7319.0,37106.0,28430.0,best,0.4545135498046875,0.1116790771484375,0.433807373046875
8,512_768_2304_2560,MSAVI,65536,32501,19866.0,52367.0,13169.0,best,0.4959259033203125,0.303131103515625,0.2009429931640625
9,512_768_2560_2816,MSAVI,65536,31555,8432.0,39987.0,25549.0,best,0.4814910888671875,0.128662109375,0.3898468017578125
10,512_768_2816_3072,MSAVI,65536,32450,15631.0,48081.0,17455.0,best,0.495147705078125,0.2385101318359375,0.2663421630859375
11,512_768_3072_3328,MSAVI,65536,32725,11433.0,44158.0,21378.0,best,0.4993438720703125,0.1744537353515625,0.326202392578125
12,512_768_3328_3584,MSAVI,65536,33900,8380.0,42280.0,23256.0,best,0.51727294921875,0.12786865234375,0.3548583984375
13,512_768_3584_3840,MSAVI,65536,36831,5967.0,42798.0,22738.0,best,0.5619964599609375,0.0910491943359375,0.346954345703125
14,512_768_3840_4096,MSAVI,65536,36297,10997.0,47294.0,18242.0,best,0.5538482666015625,0.1678009033203125,0.278350830078125
15,512_768_4096_4352,MSAVI,65536,36468,6907.0,43375.0,22161.0,best,0.55645751953125,0.1053924560546875,0.3381500244140625
