,Unnamed: 0,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
8,0,patch_1_3,256,512,768,1024,65536,MSAVI,-0.19921875,41974,,,,
9,0,patch_1_3,256,512,768,1024,65536,NDVI,-0.68359375,23509,11297.0,0.0177139319085714,11338.0,0.0261267871930304
10,0,patch_1_4,256,512,1024,1280,65536,MSAVI,-0.22265625,40189,,,,
11,0,patch_1_4,256,512,1024,1280,65536,NDVI,-0.70703125,25126,10120.0,0.0163885923598663,11424.0,0.022779411855816
12,0,patch_1_5,256,512,1280,1536,65536,MSAVI,-0.20703125,36366,,,,
13,0,patch_1_5,256,512,1280,1536,65536,NDVI,-0.74609375,28979,11122.0,0.0099217352662073,14619.0,0.019608267710375
14,0,patch_1_6,256,512,1536,1792,65536,MSAVI,-0.41796875,36698,,,,
15,0,patch_1_6,256,512,1536,1792,65536,NDVI,-0.79296875,12695,11103.0,0.010450587411862,14474.0,0.0208864959110608
16,0,patch_1_7,256,512,1792,2048,65536,MSAVI,-0.18359375,44726,,,,
17,0,patch_1_7,256,512,1792,2048,65536,NDVI,-0.69140625,12804,11148.0,0.0305383829028363,65536.0,0.0392767380161209
18,0,patch_1_8,256,512,2048,2304,65536,MSAVI,-0.36328125,37527,,,,
19,0,patch_1_8,256,512,2048,2304,65536,NDVI,-0.75390625,11631,13333.0,0.0154443742597703,16169.0,0.0253678816156987
20,0,patch_1_9,256,512,2304,2560,65536,MSAVI,-0.23046875,34129,,,,
21,0,patch_1_9,256,512,2304,2560,65536,NDVI,-0.74609375,11894,10361.0,0.0057599675838166,17034.0,0.017709369166451
22,0,patch_1_10,256,512,2560,2816,65536,MSAVI,-0.26953125,37067,,,,
23,0,patch_1_10,256,512,2560,2816,65536,NDVI,-0.70703125,10381,11695.0,0.0108108122859015,14806.0,0.0197177069510247
24,0,patch_1_11,256,512,2816,3072,65536,MSAVI,-0.12890625,43669,,,,
25,0,patch_1_11,256,512,2816,3072,65536,NDVI,-0.70703125,18240,8332.0,0.0198539238202345,9519.0,0.028338381624164
26,0,patch_1_12,256,512,3072,3328,65536,MSAVI,-0.24609375,39457,,,,
27,0,patch_1_12,256,512,3072,3328,65536,NDVI,-0.69140625,10720,8996.0,0.0148840145999543,12052.0,0.0243805046715078
28,0,patch_1_13,256,512,3328,3584,65536,MSAVI,-0.25390625,33680,,,,
29,0,patch_1_13,256,512,3328,3584,65536,NDVI,-0.76171875,14738,10458.0,0.005337808963763,15848.0,0.013926147175771
30,0,patch_1_14,256,512,3584,3840,65536,MSAVI,-0.14453125,38147,,,,
31,0,patch_1_14,256,512,3584,3840,65536,NDVI,-0.79296875,15148,9967.0,0.0122994111954173,11818.0,0.0187140893230223
32,0,patch_1_15,256,512,3840,4096,65536,MSAVI,-0.18359375,35057,,,,
33,0,patch_1_15,256,512,3840,4096,65536,NDVI,-0.74609375,12085,16203.0,0.0115675552247274,17494.0,0.0187856065230269
34,0,patch_1_16,256,512,4096,4352,65536,MSAVI,-0.27734375,36752,,,,
35,0,patch_1_16,256,512,4096,4352,65536,NDVI,-0.74609375,13847,8125.0,0.0107311704930102,12411.0,0.0175869014076269
36,0,patch_1_17,256,512,4352,4608,65536,MSAVI,-0.16796875,36146,,,,
37,0,patch_1_17,256,512,4352,4608,65536,NDVI,-0.79296875,16356,11283.0,0.0089013034464,15617.0,0.0175467228533897
38,0,patch_1_18,256,512,4608,4864,65536,MSAVI,-0.08984375,32129,,,,
39,0,patch_1_18,256,512,4608,4864,65536,NDVI,-0.75390625,20892,11348.0,0.0027956043281147,19579.0,0.0130962074565866
40,0,patch_1_19,256,512,4864,5120,65536,MSAVI,-0.37890625,35378,,,,
41,0,patch_1_19,256,512,4864,5120,65536,NDVI,-0.79296875,16988,6979.0,0.006600554281333,10780.0,0.0142380404057853
42,0,patch_1_20,256,512,5120,5376,65536,MSAVI,-0.30859375,42861,,,,
43,0,patch_1_20,256,512,5120,5376,65536,NDVI,-0.78515625,20326,6016.0,0.0189710653350081,8027.0,0.0248032633291799
44,0,patch_1_21,256,512,5376,5632,65536,MSAVI,-0.32421875,43110,,,,
