,Unnamed: 0,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
80,0,patch_1_10,256,512,2560,2816,65536,MSAVI,-0.08984375,34823,,,,
81,0,patch_1_10,256,512,2560,2816,65536,NDVI,-0.99609375,30713,9095.0,0.0063121316010062,13659.0,0.013923415490585
82,0,patch_1_11,256,512,2816,3072,65536,MSAVI,-0.05859375,34535,,,,
83,0,patch_1_11,256,512,2816,3072,65536,NDVI,-0.99609375,31001,8199.0,0.0057583923527663,14532.0,0.0171946127867748
84,0,patch_1_12,256,512,3072,3328,65536,MSAVI,-0.10546875,36855,,,,
85,0,patch_1_12,256,512,3072,3328,65536,NDVI,-0.63671875,28673,11303.0,0.0092176939175232,17446.0,0.0212723986505813
86,0,patch_1_13,256,512,3328,3584,65536,MSAVI,-0.17578125,34640,,,,
87,0,patch_1_13,256,512,3328,3584,65536,NDVI,-0.99609375,30896,6570.0,0.0052671548357439,13832.0,0.0173659922160065
142,0,patch_2_9,512,768,2304,2560,65536,MSAVI,-0.26171875,35290,,,,
143,0,patch_2_9,512,768,2304,2560,65536,NDVI,-0.99609375,30246,7738.0,0.0057683574229885,14018.0,0.0163622586601367
144,0,patch_2_10,512,768,2560,2816,65536,MSAVI,-0.03515625,36975,,,,
145,0,patch_2_10,512,768,2560,2816,65536,NDVI,-0.99609375,28561,10038.0,0.0100761946527797,15046.0,0.0197523958129589
146,0,patch_2_11,512,768,2816,3072,65536,MSAVI,-0.17578125,37999,,,,
147,0,patch_2_11,512,768,2816,3072,65536,NDVI,-0.99609375,27537,2626.0,0.0086218762029835,6443.0,0.0178117063367269
148,0,patch_2_12,512,768,3072,3328,65536,MSAVI,-0.09765625,35586,,,,
149,0,patch_2_12,512,768,3072,3328,65536,NDVI,-0.99609375,29950,9894.0,0.0083597152131109,14078.0,0.0185921557216108
150,0,patch_2_13,512,768,3328,3584,65536,MSAVI,-0.12890625,36473,,,,
151,0,patch_2_13,512,768,3328,3584,65536,NDVI,-0.99609375,29063,13239.0,0.0111211499960912,65536.0,0.0221956413805775
152,0,patch_2_14,512,768,3584,3840,65536,MSAVI,-0.33984375,38977,,,,
153,0,patch_2_14,512,768,3584,3840,65536,NDVI,-0.99609375,26559,8155.0,0.0126409625064168,11361.0,0.0215284600369876
154,0,patch_2_15,512,768,3840,4096,65536,MSAVI,-0.07421875,35631,,,,
155,0,patch_2_15,512,768,3840,4096,65536,NDVI,-0.99609375,29905,6696.0,0.0073699172837504,10761.0,0.0161966973972659
156,0,patch_2_16,512,768,4096,4352,65536,MSAVI,-0.20703125,37191,,,,
157,0,patch_2_16,512,768,4096,4352,65536,NDVI,-0.99609375,28345,3116.0,0.0090641844533747,5207.0,0.0143106056855077
158,0,patch_2_17,512,768,4352,4608,65503,MSAVI,-0.14453125,36002,,,,
159,0,patch_2_17,512,768,4352,4608,65503,NDVI,-0.64453125,29529,15195.0,0.0123367913944529,17916.0,0.0174270617394657
206,0,patch_3_8,768,1024,2048,2304,65536,MSAVI,-0.17578125,37661,,,,
207,0,patch_3_8,768,1024,2048,2304,65536,NDVI,-0.70703125,19248,9332.0,0.012758204421016,11814.0,0.0203491504219443
208,0,patch_3_9,768,1024,2304,2560,65536,MSAVI,-0.22265625,35086,,,,
209,0,patch_3_9,768,1024,2304,2560,65536,NDVI,-0.69921875,28487,12908.0,0.0080173688289259,17296.0,0.0174683852633914
210,0,patch_3_10,768,1024,2560,2816,65536,MSAVI,-0.15234375,37840,,,,
211,0,patch_3_10,768,1024,2560,2816,65536,NDVI,-0.67578125,18530,12820.0,0.0112754298983341,16794.0,0.0229387124657167
212,0,patch_3_11,768,1024,2816,3072,65536,MSAVI,-0.23828125,35115,,,,
213,0,patch_3_11,768,1024,2816,3072,65536,NDVI,-0.70703125,27179,15075.0,0.0063242465905179,20533.0,0.0204892737539549
214,0,patch_3_12,768,1024,3072,3328,65536,MSAVI,-0.11328125,37602,,,,
215,0,patch_3_12,768,1024,3072,3328,65536,NDVI,-0.65234375,27909,12421.0,0.012796280645358,15779.0,0.0203763523764477
216,0,patch_3_13,768,1024,3328,3584,65536,MSAVI,-0.03515625,38508,,,,
217,0,patch_3_13,768,1024,3328,3584,65536,NDVI,-0.99609375,27028,10674.0,0.0145096438609363,12503.0,0.0216601970196473
218,0,patch_3_14,768,1024,3584,3840,65536,MSAVI,-0.23828125,37620,,,,
219,0,patch_3_14,768,1024,3584,3840,65536,NDVI,-0.99609375,27916,8593.0,0.0096080926421659,11092.0,0.0176793213971998
220,0,patch_3_15,768,1024,3840,4096,65536,MSAVI,-0.33984375,38114,,,,
221,0,patch_3_15,768,1024,3840,4096,65536,NDVI,-0.99609375,27422,6256.0,0.0109578379717769,9303.0,0.0184572178063934
222,0,patch_3_16,768,1024,4096,4352,65536,MSAVI,-0.25390625,37485,,,,
223,0,patch_3_16,768,1024,4096,4352,65536,NDVI,-0.99609375,28051,8208.0,0.0090923358392815,12472.0,0.0186368458210014
224,0,patch_3_17,768,1024,4352,4608,65536,MSAVI,-0.22265625,37325,,,,
225,0,patch_3_17,768,1024,4352,4608,65536,NDVI,-0.99609375,28211,16129.0,0.016244004611141,18490.0,0.0232016082004234
226,0,patch_3_18,768,1024,4608,4864,65536,MSAVI,-0.03515625,37197,,,,
227,0,patch_3_18,768,1024,4608,4864,65536,NDVI,-0.99609375,28339,7688.0,0.0111144382705526,9931.0,0.0160320124249252
228,0,patch_3_19,768,1024,4864,5120,65536,MSAVI,-0.36328125,34053,,,,
229,0,patch_3_19,768,1024,4864,5120,65536,NDVI,-0.99609375,31483,6184.0,0.0040978858261894,11331.0,0.0118673153222559
230,0,patch_3_20,768,1024,5120,5376,65536,MSAVI,-0.10546875,33853,,,,
231,0,patch_3_20,768,1024,5120,5376,65536,NDVI,-0.99609375,31683,5679.0,0.0044921194510365,9941.0,0.0116547319968818
272,0,patch_4_8,1024,1280,2048,2304,65536,MSAVI,-0.12890625,39135,,,,
273,0,patch_4_8,1024,1280,2048,2304,65536,NDVI,-0.99609375,26401,15659.0,0.0195483364466882,65536.0,0.0265664576664456
274,0,patch_4_9,1024,1280,2304,2560,65536,MSAVI,-0.20703125,35853,,,,
275,0,patch_4_9,1024,1280,2304,2560,65536,NDVI,-0.73046875,28953,11710.0,0.0088828151538321,16950.0,0.0179900187188196
276,0,patch_4_10,1024,1280,2560,2816,65536,MSAVI,-0.19140625,36645,,,,
277,0,patch_4_10,1024,1280,2560,2816,65536,NDVI,-0.69140625,15576,12989.0,0.0108330102443552,16713.0,0.0190443474322118
278,0,patch_4_11,1024,1280,2816,3072,65536,MSAVI,-0.09765625,36119,,,,
279,0,patch_4_11,1024,1280,2816,3072,65536,NDVI,-0.66015625,18854,9240.0,0.0091601156505436,12410.0,0.0175310293097941
280,0,patch_4_12,1024,1280,3072,3328,65536,MSAVI,-0.06640625,38527,,,,
281,0,patch_4_12,1024,1280,3072,3328,65536,NDVI,-0.68359375,22739,7388.0,0.0119238522614633,10641.0,0.0208501259287018
282,0,patch_4_13,1024,1280,3328,3584,65536,MSAVI,-0.08984375,37819,,,,
283,0,patch_4_13,1024,1280,3328,3584,65536,NDVI,-0.64453125,27690,17246.0,0.0178816850660872,65536.0,0.025794552100491
284,0,patch_4_14,1024,1280,3584,3840,65536,MSAVI,-0.08203125,37219,,,,
285,0,patch_4_14,1024,1280,3584,3840,65536,NDVI,-0.99609375,28317,5596.0,0.0085991667871729,9556.0,0.0164289259561074
286,0,patch_4_15,1024,1280,3840,4096,65536,MSAVI,-0.16015625,35375,,,,
287,0,patch_4_15,1024,1280,3840,4096,65536,NDVI,-0.70703125,30158,9683.0,0.0081162103045251,13951.0,0.0168482820134465
288,0,patch_4_16,1024,1280,4096,4352,65536,MSAVI,-0.31640625,37465,,,,
289,0,patch_4_16,1024,1280,4096,4352,65536,NDVI,-0.99609375,28071,7808.0,0.0107550981375771,11849.0,0.017992525139772
