,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
0,patch_1_32,256,512,8192,8448,65536,MSAVI,-0.23046875,42336,,,,
0,patch_1_32,256,512,8192,8448,65536,NDVI,-0.99609375,23200,1869,0.01871185957700372,2577,0.023853804492396685
0,patch_1_33,256,512,8448,8704,65536,MSAVI,0.03515625,37967,,,,
0,patch_1_33,256,512,8448,8704,65536,NDVI,-0.99609375,27569,6303,0.008462336448540178,7071,0.01566967238716982
0,patch_1_34,256,512,8704,8960,65536,MSAVI,-0.21484375,38465,,,,
0,patch_1_34,256,512,8704,8960,65536,NDVI,-0.99609375,27071,6076,0.009737903102283368,7062,0.01651631943773857
0,patch_1_35,256,512,8960,9216,65536,MSAVI,-0.20703125,39421,,,,
0,patch_1_35,256,512,8960,9216,65536,NDVI,-0.99609375,26115,3489,0.012378271994167689,4703,0.01627471843173353
0,patch_1_36,256,512,9216,9472,65536,MSAVI,-0.08984375,40463,,,,
0,patch_1_36,256,512,9216,9472,65536,NDVI,-0.99609375,25073,6728,0.012537494841283803,7642,0.023581694767674244
0,patch_1_37,256,512,9472,9728,65536,MSAVI,-0.12109375,35740,,,,
0,patch_1_37,256,512,9472,9728,65536,NDVI,-0.44140625,29795,9157,0.007953563560895369,9404,0.017651324871433338
0,patch_2_26,512,768,6656,6912,65536,MSAVI,-0.13671875,36550,,,,
0,patch_2_26,512,768,6656,6912,65536,NDVI,-0.99609375,28986,5656,0.009768377015029805,7801,0.014064532496197713
0,patch_2_27,512,768,6912,7168,65536,MSAVI,-0.04296875,34139,,,,
0,patch_2_27,512,768,6912,7168,65536,NDVI,-0.99609375,31397,8706,0.006446969467196334,9672,0.014285437804658824
0,patch_2_28,512,768,7168,7424,65536,MSAVI,0.08203125,31935,,,,
0,patch_2_28,512,768,7168,7424,65536,NDVI,-0.99609375,33601,12094,0.006500633743988141,65502,0.012877964283879662
0,patch_2_29,512,768,7424,7680,65536,MSAVI,-0.06640625,33687,,,,
0,patch_2_29,512,768,7424,7680,65536,NDVI,-0.99609375,31849,4686,0.004351138643510152,10516,0.011942069697478769
0,patch_2_30,512,768,7680,7936,65536,MSAVI,-0.08203125,34124,,,,
0,patch_2_30,512,768,7680,7936,65536,NDVI,-0.99609375,31412,4560,0.005251841265418111,6018,0.011738306541642124
0,patch_2_31,512,768,7936,8192,65536,MSAVI,-0.13671875,33881,,,,
0,patch_2_31,512,768,7936,8192,65536,NDVI,-0.99609375,31655,2152,0.004925235023676061,3789,0.010108910650172498
0,patch_2_32,512,768,8192,8448,65536,MSAVI,0.01953125,42478,,,,
0,patch_2_32,512,768,8192,8448,65536,NDVI,-0.99609375,23058,3259,0.01601939950671774,4321,0.0232282047153248
0,patch_2_33,512,768,8448,8704,65536,MSAVI,-0.23828125,46381,,,,
0,patch_2_33,512,768,8448,8704,65536,NDVI,-0.99609375,19155,2053,0.021938945127202236,2379,0.029545939180830927
0,patch_2_34,512,768,8704,8960,65536,MSAVI,-0.09765625,44188,,,,
0,patch_2_34,512,768,8704,8960,65536,NDVI,-0.99609375,21348,3589,0.01805278617448286,3854,0.02485233731905237
0,patch_2_35,512,768,8960,9216,65536,MSAVI,-0.17578125,41928,,,,
0,patch_2_35,512,768,8960,9216,65536,NDVI,-0.99609375,23608,4392,0.01642528582677305,5102,0.023370318479175173
0,patch_2_36,512,768,9216,9472,65536,MSAVI,-0.21484375,43644,,,,
0,patch_2_36,512,768,9216,9472,65536,NDVI,-0.99609375,21892,1948,0.017819445340999523,2113,0.021480199872776662
0,patch_2_37,512,768,9472,9728,65536,MSAVI,-0.16015625,40137,,,,
0,patch_2_37,512,768,9472,9728,65536,NDVI,-0.51171875,25395,3205,0.010377714253642492,3698,0.018451260334465924
0,patch_2_38,512,768,9728,9984,65536,MSAVI,-0.12109375,35433,,,,
0,patch_2_38,512,768,9728,9984,65536,NDVI,-0.99609375,30103,16583,0.012934520215435952,15601,0.020266454079099328
0,patch_3_21,768,1024,5376,5632,65536,MSAVI,-0.14453125,37797,,,,
0,patch_3_21,768,1024,5376,5632,65536,NDVI,-0.99609375,27739,7839,0.008569884736065306,9849,0.017800687745315624
0,patch_3_22,768,1024,5632,5888,65536,MSAVI,-0.12890625,37429,,,,
0,patch_3_22,768,1024,5632,5888,65536,NDVI,-0.99609375,28107,5950,0.008961516295579508,7980,0.016451461659290012
0,patch_3_23,768,1024,5888,6144,65536,MSAVI,-0.13671875,39694,,,,
0,patch_3_23,768,1024,5888,6144,65536,NDVI,-0.99609375,25842,2638,0.010622784958899234,3708,0.018581322568551023
0,patch_3_24,768,1024,6144,6400,65536,MSAVI,-0.23046875,37188,,,,
0,patch_3_24,768,1024,6144,6400,65536,NDVI,-0.99609375,28348,3011,0.008585877930151947,4211,0.012486857560101983
0,patch_3_25,768,1024,6400,6656,65536,MSAVI,-0.12890625,34558,,,,
0,patch_3_25,768,1024,6400,6656,65536,NDVI,-0.99609375,30978,8244,0.006221275354497874,10997,0.012994735430272158
0,patch_3_26,768,1024,6656,6912,65536,MSAVI,-0.16796875,36570,,,,
0,patch_3_26,768,1024,6656,6912,65536,NDVI,-0.99609375,28966,4103,0.007255564609967541,6962,0.01447473412327302
0,patch_3_27,768,1024,6912,7168,65536,MSAVI,-0.04296875,33604,,,,
0,patch_3_27,768,1024,6912,7168,65536,NDVI,-0.99609375,31932,10543,0.0052170528072640054,13615,0.01535955645105122
0,patch_3_28,768,1024,7168,7424,65536,MSAVI,-0.08984375,33560,,,,
0,patch_3_28,768,1024,7168,7424,65536,NDVI,-0.99609375,31976,7766,0.005633713392083656,12169,0.012887780752355471
0,patch_3_29,768,1024,7424,7680,65536,MSAVI,-0.26953125,37377,,,,
0,patch_3_29,768,1024,7424,7680,65536,NDVI,-0.99609375,28159,3836,0.008679418212793832,5387,0.01670813597150239
0,patch_3_30,768,1024,7680,7936,65536,MSAVI,-0.04296875,34259,,,,
0,patch_3_30,768,1024,7680,7936,65536,NDVI,-0.99609375,31277,3401,0.004541033700476982,6283,0.012205642702788594
0,patch_3_31,768,1024,7936,8192,65536,MSAVI,-0.19921875,37102,,,,
0,patch_3_31,768,1024,7936,8192,65536,NDVI,-0.99609375,28434,2001,0.007529240709999635,4450,0.015308932959983812
0,patch_3_32,768,1024,8192,8448,65536,MSAVI,-0.03515625,37291,,,,
0,patch_3_32,768,1024,8192,8448,65536,NDVI,-0.99609375,28245,747,0.007623059328990461,1765,0.013069952746557922
0,patch_3_33,768,1024,8448,8704,65536,MSAVI,-0.24609375,43232,,,,
0,patch_3_33,768,1024,8448,8704,65536,NDVI,-0.61328125,22303,781,0.014708881928329559,916,0.0207145210292371
0,patch_3_34,768,1024,8704,8960,65536,MSAVI,-0.21484375,42827,,,,
0,patch_3_34,768,1024,8704,8960,65536,NDVI,-0.66015625,22695,5887,0.014730229189440253,7979,0.023946966886674997
0,patch_3_35,768,1024,8960,9216,65536,MSAVI,-0.11328125,40218,,,,
0,patch_3_35,768,1024,8960,9216,65536,NDVI,-0.99609375,25318,3016,0.011212412574904684,3982,0.017627058245570898
0,patch_3_36,768,1024,9216,9472,65536,MSAVI,-0.07421875,40044,,,,
