,Unnamed: 0,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
130,0,patch_1_26,256,512,6656,6912,65401,MSAVI,-0.40234375,44472,,,,
131,0,patch_1_26,256,512,6656,6912,65401,NDVI,-0.99609375,21064,1573.0,0.0202586947029175,2033.0,0.028932614378587
132,0,patch_1_27,256,512,6912,7168,65536,MSAVI,-0.20703125,43677,,,,
133,0,patch_1_27,256,512,6912,7168,65536,NDVI,-0.61328125,21859,1538.0,0.0182424178098317,1873.0,0.0227827708449084
134,0,patch_1_28,256,512,7168,7424,65536,MSAVI,-0.19140625,46743,,,,
135,0,patch_1_28,256,512,7168,7424,65536,NDVI,-0.66796875,18792,2621.0,0.024765484305348,3017.0,0.0298205533830762
136,0,patch_1_29,256,512,7424,7680,65536,MSAVI,-0.26171875,47646,,,,
137,0,patch_1_29,256,512,7424,7680,65536,NDVI,-0.77734375,17566,2196.0,0.026707144100706,2738.0,0.0304314173829274
212,0,patch_2_25,512,768,6400,6656,65536,MSAVI,-0.41015625,46557,,,,
213,0,patch_2_25,512,768,6400,6656,65536,NDVI,-0.99609375,18979,888.0,0.024121690385774,1201.0,0.0321746427198356
214,0,patch_2_26,512,768,6656,6912,65536,MSAVI,-0.21484375,45243,,,,
215,0,patch_2_26,512,768,6656,6912,65536,NDVI,-0.99609375,20293,1199.0,0.0210061945494974,1499.0,0.0297411446891076
216,0,patch_2_27,512,768,6912,7168,65536,MSAVI,0.01953125,41825,,,,
217,0,patch_2_27,512,768,6912,7168,65536,NDVI,-0.99609375,23711,2444.0,0.0132318183781784,3380.0,0.0236142985383169
218,0,patch_2_28,512,768,7168,7424,65536,MSAVI,-0.16015625,46363,,,,
219,0,patch_2_28,512,768,7168,7424,65536,NDVI,-0.69921875,18906,1549.0,0.0216832192018033,1823.0,0.0291192157345902
220,0,patch_2_29,512,768,7424,7680,65536,MSAVI,-0.14453125,41919,,,,
221,0,patch_2_29,512,768,7424,7680,65536,NDVI,-0.69921875,23024,5123.0,0.0167732433716696,7197.0,0.0240541394016945
222,0,patch_2_30,512,768,7680,7936,65536,MSAVI,-0.14453125,44022,,,,
223,0,patch_2_30,512,768,7680,7936,65536,NDVI,-0.75390625,21150,2428.0,0.0190684419203618,3379.0,0.0241819128093239
294,0,patch_3_23,768,1024,5888,6144,65536,MSAVI,-0.22265625,41046,,,,
295,0,patch_3_23,768,1024,5888,6144,65536,NDVI,-0.99609375,24490,4706.0,0.016371972587216,5320.0,0.0218878168437523
296,0,patch_3_24,768,1024,6144,6400,65536,MSAVI,-0.23046875,46864,,,,
297,0,patch_3_24,768,1024,6144,6400,65536,NDVI,-0.99609375,18672,495.0,0.0220943390225519,425.0,0.0290139926777499
298,0,patch_3_25,768,1024,6400,6656,65536,MSAVI,-0.37890625,45417,,,,
299,0,patch_3_25,768,1024,6400,6656,65536,NDVI,-0.99609375,20119,178.0,0.0226369167566193,253.0,0.0280170811543815
300,0,patch_3_26,768,1024,6656,6912,65536,MSAVI,-0.04296875,43385,,,,
301,0,patch_3_26,768,1024,6656,6912,65536,NDVI,-0.99609375,22151,1431.0,0.0167840614097689,2206.0,0.0263266085457606
302,0,patch_3_27,768,1024,6912,7168,65536,MSAVI,-0.11328125,42050,,,,
303,0,patch_3_27,768,1024,6912,7168,65536,NDVI,-0.99609375,23486,6463.0,0.0144337530905125,6931.0,0.0271721387656447
304,0,patch_3_28,768,1024,7168,7424,65536,MSAVI,-0.05859375,44658,,,,
305,0,patch_3_28,768,1024,7168,7424,65536,NDVI,-0.68359375,20845,2578.0,0.019071217569463,3600.0,0.0276423329294137
306,0,patch_3_29,768,1024,7424,7680,65536,MSAVI,-0.23828125,45470,,,,
307,0,patch_3_29,768,1024,7424,7680,65536,NDVI,-0.71484375,18875,2622.0,0.0222442689002405,2518.0,0.0291834166820789
308,0,patch_3_30,768,1024,7680,7936,65536,MSAVI,-0.18359375,43189,,,,
309,0,patch_3_30,768,1024,7680,7936,65536,NDVI,-0.76953125,22261,2090.0,0.0191353455065997,2265.0,0.0212520992852521
374,0,patch_4_22,1024,1280,5632,5888,65536,MSAVI,-0.25390625,45991,,,,
375,0,patch_4_22,1024,1280,5632,5888,65536,NDVI,-0.99609375,19545,253.0,0.021107036791785,818.0,0.0291366208115084
376,0,patch_4_23,1024,1280,5888,6144,65536,MSAVI,-0.15234375,42430,,,,
377,0,patch_4_23,1024,1280,5888,6144,65536,NDVI,-0.99609375,23106,2058.0,0.0152410890313718,2371.0,0.0224213541810409
378,0,patch_4_24,1024,1280,6144,6400,65536,MSAVI,-0.16796875,44310,,,,
379,0,patch_4_24,1024,1280,6144,6400,65536,NDVI,-0.99609375,21226,228.0,0.0191286800104131,542.0,0.0242663343356353
380,0,patch_4_25,1024,1280,6400,6656,65536,MSAVI,-0.15234375,46335,,,,
381,0,patch_4_25,1024,1280,6400,6656,65536,NDVI,-0.99609375,19201,52.0,0.0201338357566472,52.0,0.0275829180443835
382,0,patch_4_26,1024,1280,6656,6912,65536,MSAVI,-0.19921875,44026,,,,
383,0,patch_4_26,1024,1280,6656,6912,65536,NDVI,-0.99609375,21510,2976.0,0.0197461641012157,3475.0,0.030620149744475
384,0,patch_4_27,1024,1280,6912,7168,65536,MSAVI,-0.05078125,44646,,,,
385,0,patch_4_27,1024,1280,6912,7168,65536,NDVI,-0.69140625,20888,2133.0,0.0175328434456999,2188.0,0.0278756913401179
386,0,patch_4_28,1024,1280,7168,7424,65536,MSAVI,-0.01953125,40811,,,,
387,0,patch_4_28,1024,1280,7168,7424,65536,NDVI,-0.99609375,24725,2260.0,0.0134287307375332,2480.0,0.0217280227389907
388,0,patch_4_29,1024,1280,7424,7680,65536,MSAVI,-0.00390625,42795,,,,
389,0,patch_4_29,1024,1280,7424,7680,65536,NDVI,-0.66796875,22688,3194.0,0.0150620700226836,4655.0,0.0248561161529761
390,0,patch_4_30,1024,1280,7680,7936,65536,MSAVI,-0.23828125,44455,,,,
391,0,patch_4_30,1024,1280,7680,7936,65536,NDVI,-0.74609375,20386,515.0,0.0202424244873332,1679.0,0.0246165079222825
392,0,patch_4_31,1024,1280,7936,8192,65536,MSAVI,-0.23828125,48379,,,,
393,0,patch_4_31,1024,1280,7936,8192,65536,NDVI,-0.72265625,17032,374.0,0.0260712427345076,384.0,0.0294032798430537
454,0,patch_5_20,1280,1536,5120,5376,65536,MSAVI,-0.13671875,49604,,,,
455,0,patch_5_20,1280,1536,5120,5376,65536,NDVI,-0.99609375,15932,1174.0,0.0274404706698526,1419.0,0.034314786264676
456,0,patch_5_21,1280,1536,5376,5632,65536,MSAVI,-0.19921875,50160,,,,
457,0,patch_5_21,1280,1536,5376,5632,65536,NDVI,-0.99609375,15376,186.0,0.0285795343366504,337.0,0.0350319203785569
458,0,patch_5_22,1280,1536,5632,5888,65536,MSAVI,-0.19921875,45808,,,,
459,0,patch_5_22,1280,1536,5632,5888,65536,NDVI,-0.59765625,19728,3474.0,0.0195425944263269,3777.0,0.0299532043684681
460,0,patch_5_23,1280,1536,5888,6144,65536,MSAVI,-0.37109375,44070,,,,
461,0,patch_5_23,1280,1536,5888,6144,65536,NDVI,-0.99609375,21466,1584.0,0.0168430192276851,1970.0,0.0276809770122358
462,0,patch_5_24,1280,1536,6144,6400,65536,MSAVI,-0.13671875,43927,,,,
463,0,patch_5_24,1280,1536,6144,6400,65536,NDVI,-0.99609375,21609,3057.0,0.0168033366718247,4280.0,0.0264983645833684
464,0,patch_5_25,1280,1536,6400,6656,65536,MSAVI,-0.03515625,41646,,,,
465,0,patch_5_25,1280,1536,6400,6656,65536,NDVI,-0.57421875,23887,5998.0,0.0150834373447408,6139.0,0.0245624905323981
466,0,patch_5_26,1280,1536,6656,6912,65536,MSAVI,-0.21484375,43781,,,,
467,0,patch_5_26,1280,1536,6656,6912,65536,NDVI,-0.99609375,21755,4718.0,0.020266400057948,4749.0,0.0270078896093115
468,0,patch_5_27,1280,1536,6912,7168,65536,MSAVI,-0.24609375,46475,,,,
469,0,patch_5_27,1280,1536,6912,7168,65536,NDVI,-0.99609375,19061,2147.0,0.0205916498501812,2975.0,0.0302748994510696
470,0,patch_5_28,1280,1536,7168,7424,65536,MSAVI,-0.25390625,42049,,,,
471,0,patch_5_28,1280,1536,7168,7424,65536,NDVI,-0.99609375,23487,1581.0,0.0146940382407734,2117.0,0.0218130918456612
472,0,patch_5_29,1280,1536,7424,7680,65536,MSAVI,-0.12109375,43703,,,,
473,0,patch_5_29,1280,1536,7424,7680,65536,NDVI,-0.65234375,21832,3955.0,0.0176590111550061,4152.0,0.0251797775522826
474,0,patch_5_30,1280,1536,7680,7936,65536,MSAVI,-0.21484375,46233,,,,
475,0,patch_5_30,1280,1536,7680,7936,65536,NDVI,-0.72265625,19023,1119.0,0.022420245424716,1376.0,0.0274065342177985
476,0,patch_5_31,1280,1536,7936,8192,65536,MSAVI,-0.31640625,43634,,,,
477,0,patch_5_31,1280,1536,7936,8192,65536,NDVI,-0.76171875,18068,766.0,0.0176702944879237,1313.0,0.0219511911550183
534,0,patch_6_18,1536,1792,4608,4864,65536,MSAVI,-0.39453125,47921,,,,
535,0,patch_6_18,1536,1792,4608,4864,65536,NDVI,-0.99609375,17615,5182.0,0.0237771642487342,5449.0,0.0339894265235879
536,0,patch_6_19,1536,1792,4864,5120,65536,MSAVI,-0.21484375,46026,,,,
537,0,patch_6_19,1536,1792,4864,5120,65536,NDVI,-0.99609375,19510,6218.0,0.0231104783707376,6394.0,0.0321923248146972
538,0,patch_6_20,1536,1792,5120,5376,65536,MSAVI,-0.12109375,46539,,,,
539,0,patch_6_20,1536,1792,5120,5376,65536,NDVI,-0.99609375,18997,184.0,0.0228505313706073,200.0,0.0277071952228039
540,0,patch_6_21,1536,1792,5376,5632,65536,MSAVI,-0.11328125,50051,,,,
541,0,patch_6_21,1536,1792,5376,5632,65536,NDVI,-0.99609375,15485,331.0,0.0288661587511719,333.0,0.0350105510172978
542,0,patch_6_22,1536,1792,5632,5888,65536,MSAVI,-0.30078125,44137,,,,
543,0,patch_6_22,1536,1792,5632,5888,65536,NDVI,-0.61328125,21359,7169.0,0.0174736629976154,7474.0,0.0309169755822762
544,0,patch_6_23,1536,1792,5888,6144,65536,MSAVI,-0.45703125,45160,,,,
545,0,patch_6_23,1536,1792,5888,6144,65536,NDVI,-0.99609375,20376,2253.0,0.0199451576307871,2686.0,0.0283230428565743
546,0,patch_6_24,1536,1792,6144,6400,65536,MSAVI,-0.24609375,46369,,,,
547,0,patch_6_24,1536,1792,6144,6400,65536,NDVI,-0.99609375,19167,532.0,0.0208213540628456,696.0,0.0285911562903523
548,0,patch_6_25,1536,1792,6400,6656,65536,MSAVI,-0.11328125,44256,,,,
549,0,patch_6_25,1536,1792,6400,6656,65536,NDVI,-0.60546875,21280,961.0,0.0191428865003553,981.0,0.0246840954474097
550,0,patch_6_26,1536,1792,6656,6912,65536,MSAVI,-0.05859375,42758,,,,
551,0,patch_6_26,1536,1792,6656,6912,65536,NDVI,-0.99609375,22778,566.0,0.0148244081227094,564.0,0.0204699860821087
552,0,patch_6_27,1536,1792,6912,7168,65536,MSAVI,-0.12109375,42857,,,,
553,0,patch_6_27,1536,1792,6912,7168,65536,NDVI,-0.99609375,22679,362.0,0.0154441189834967,861.0,0.0232661442613368
554,0,patch_6_28,1536,1792,7168,7424,65536,MSAVI,-0.19140625,43992,,,,
555,0,patch_6_28,1536,1792,7168,7424,65536,NDVI,-0.99609375,21544,452.0,0.0165213641251228,614.0,0.025251930628473
556,0,patch_6_29,1536,1792,7424,7680,65536,MSAVI,-0.12890625,44485,,,,
557,0,patch_6_29,1536,1792,7424,7680,65536,NDVI,-0.65234375,21051,3667.0,0.0209484437030698,3750.0,0.028581149775304
558,0,patch_6_30,1536,1792,7680,7936,65536,MSAVI,-0.09765625,42055,,,,
559,0,patch_6_30,1536,1792,7680,7936,65536,NDVI,-0.68359375,22867,7961.0,0.0177829414417821,9198.0,0.0241662031230403
