,patch,start_vert,end_vert,start_horiz,end_horiz,Patch_Area,VegetationIndex,VI_Thresh,VI_Area,Pure_GaborArea,Pure_GaborThresh,LocalHistEq_GaborArea,LocalHistEq_GaborThresh
0,patch_0_30,0,256,7680,7936,65416,MSAVI,-0.54296875,33617,,,,
0,patch_0_30,0,256,7680,7936,65416,NDVI,-0.80078125,46233,11973,0.008344640096164674,18834,0.01910340319402018
0,patch_0_31,0,256,7936,8192,65536,MSAVI,-0.01171875,35235,,,,
0,patch_0_31,0,256,7936,8192,65536,NDVI,-0.59765625,7645,12528,0.012277453869031313,17324,0.022070214710810138
0,patch_1_3,256,512,768,1024,65536,MSAVI,-0.24609375,45510,,,,
0,patch_1_3,256,512,768,1024,65536,NDVI,-0.47265625,18907,16515,0.029106441951205375,65536,0.04300162995814588
0,patch_1_4,256,512,1024,1280,65536,MSAVI,-0.02734375,37378,,,,
0,patch_1_4,256,512,1024,1280,65536,NDVI,-0.51171875,28032,19788,0.020907959146627186,20112,0.030096139154763696
0,patch_1_5,256,512,1280,1536,65536,MSAVI,-0.23828125,43869,,,,
0,patch_1_5,256,512,1280,1536,65536,NDVI,-0.99609375,21667,11988,0.021397993878968874,12528,0.031886010700333284
0,patch_1_6,256,512,1536,1792,65536,MSAVI,-0.35546875,40156,,,,
0,patch_1_6,256,512,1536,1792,65536,NDVI,-0.76953125,24381,15434,0.019316949936020483,17416,0.028431008265163926
0,patch_1_7,256,512,1792,2048,65536,MSAVI,-0.11328125,43371,,,,
0,patch_1_7,256,512,1792,2048,65536,NDVI,-0.99609375,22165,15113,0.026118331460847605,15829,0.03328832250554403
0,patch_1_8,256,512,2048,2304,65536,MSAVI,-0.28515625,38691,,,,
0,patch_1_8,256,512,2048,2304,65536,NDVI,-0.99609375,26845,7805,0.014672197768504563,11624,0.02084999079944813
0,patch_1_9,256,512,2304,2560,65536,MSAVI,-0.16796875,42484,,,,
0,patch_1_9,256,512,2304,2560,65536,NDVI,-0.99609375,23052,14055,0.02580758973274952,14331,0.03214251567373502
0,patch_1_10,256,512,2560,2816,65536,MSAVI,-0.30859375,40775,,,,
0,patch_1_10,256,512,2560,2816,65536,NDVI,-0.63671875,24760,18799,0.0248975001161435,19509,0.03674564732965388
0,patch_1_11,256,512,2816,3072,65536,MSAVI,-0.20703125,46279,,,,
0,patch_1_11,256,512,2816,3072,65536,NDVI,-0.67578125,19095,10507,0.030022131321098655,10490,0.03601774711829392
0,patch_1_12,256,512,3072,3328,65536,MSAVI,0.14453125,34661,,,,
0,patch_1_12,256,512,3072,3328,65536,NDVI,-0.63671875,24741,9972,0.007607770653541984,16383,0.017012813172767427
0,patch_1_13,256,512,3328,3584,65536,MSAVI,-0.25390625,39312,,,,
0,patch_1_13,256,512,3328,3584,65536,NDVI,-0.70703125,19907,9917,0.017076476800562207,12097,0.02310461175867487
0,patch_1_14,256,512,3584,3840,65536,MSAVI,-0.19921875,38885,,,,
0,patch_1_14,256,512,3584,3840,65536,NDVI,-0.67578125,24198,16454,0.01830854048814845,17841,0.02744516607763775
0,patch_1_15,256,512,3840,4096,65536,MSAVI,-0.08203125,42693,,,,
0,patch_1_15,256,512,3840,4096,65536,NDVI,-0.71484375,9474,16177,0.025112256357376683,17201,0.03167117393761973
0,patch_1_16,256,512,4096,4352,65536,MSAVI,-0.12890625,57305,,,,
0,patch_1_16,256,512,4096,4352,65536,NDVI,-0.62109375,3784,4759,0.04751071673033644,4927,0.05556787656976794
0,patch_1_17,256,512,4352,4608,65536,MSAVI,-0.12890625,56284,,,,
0,patch_1_17,256,512,4352,4608,65536,NDVI,-0.62109375,4640,5570,0.04110987686123205,5828,0.05163783773671948
0,patch_1_18,256,512,4608,4864,65536,MSAVI,-0.20703125,43206,,,,
0,patch_1_18,256,512,4608,4864,65536,NDVI,-0.55078125,17551,14915,0.02559130561946535,15122,0.03556172131519006
0,patch_1_19,256,512,4864,5120,65536,MSAVI,-0.07421875,42013,,,,
0,patch_1_19,256,512,4864,5120,65536,NDVI,-0.62890625,11994,19184,0.02785940997658587,20787,0.03905438447937898
0,patch_1_20,256,512,5120,5376,65536,MSAVI,0.19921875,52382,,,,
0,patch_1_20,256,512,5120,5376,65536,NDVI,-0.61328125,6027,10048,0.033088598862821034,10250,0.04595972722014238
0,patch_1_21,256,512,5376,5632,65536,MSAVI,-0.12890625,38323,,,,
0,patch_1_21,256,512,5376,5632,65536,NDVI,-0.66015625,17086,11767,0.014516865093592873,14259,0.023002373703282314
0,patch_1_22,256,512,5632,5888,65536,MSAVI,0.23828125,43903,,,,
0,patch_1_22,256,512,5632,5888,65536,NDVI,-0.64453125,12371,11529,0.021478774019876357,12393,0.029585496902768627
