patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
0_256_1280_1536,MSAVI,65535,39995,5262.0,45257.0,20278.0,best,0.6102845807583734,0.08029297322041658,0.30942244602121005
0_256_1536_1792,MSAVI,65535,36919,1358.0,38277.0,27258.0,best,0.5633478294041352,0.02072175173571374,0.4159304188601511
0_256_1792_2048,MSAVI,65535,39158,1249.0,40407.0,25128.0,best,0.5975127794308385,0.019058518348973832,0.3834287022201877
256_512_256_512,MSAVI,65535,41156,12398.0,53554.0,11981.0,best,0.6280003051804379,0.18918135347524223,0.18281834134431982
256_512_512_768,MSAVI,65534,47375,13016.0,60391.0,5143.0,best,0.7229071932126835,0.19861445966978972,0.07847834711752678
256_512_768_1024,MSAVI,65535,40437,2017.0,42454.0,23081.0,best,0.6170290684367132,0.030777447165636684,0.35219348439765014
256_512_1024_1280,MSAVI,65535,40435,3016.0,43451.0,22084.0,best,0.6169985503929198,0.04602121004043641,0.3369802395666438
256_512_1280_1536,MSAVI,65535,41879,872.0,42751.0,22784.0,best,0.6390325780117494,0.01330586709391928,0.34766155489433126
256_512_1536_1792,MSAVI,65535,40267,3305.0,43572.0,21963.0,best,0.6144350347142749,0.050431067368581675,0.3351338979171435
256_512_1792_2048,MSAVI,65535,37622,2324.0,39946.0,25589.0,best,0.5740749217975127,0.03546196688792248,0.39046311131456474
256_512_6400_6656,MSAVI,65303,233,2350.0,2583.0,62720.0,best,0.003567983094191691,0.035986095585195166,0.9604459213206131
256_512_6656_6912,MSAVI,65535,40994,6636.0,47630.0,17905.0,best,0.6255283436331731,0.10125886930647746,0.2732127870603494
256_512_6912_7168,MSAVI,65535,41060,7239.0,48299.0,17236.0,best,0.6265354390783551,0.1104600595101854,0.26300450141145953
256_512_7168_7424,MSAVI,65535,38095,3971.0,42066.0,23469.0,best,0.5812924391546502,0.06059357595178149,0.3581139848935683
512_768_768_1024,MSAVI,65535,43532,6189.0,49721.0,15814.0,best,0.6642557412069886,0.09443808651865415,0.24130617227435722
512_768_1024_1280,MSAVI,65535,41318,1977.0,43295.0,22240.0,best,0.6304722667277027,0.030167086289768826,0.33936064698252844
512_768_1280_1536,MSAVI,65535,39589,1517.0,41106.0,24429.0,best,0.6040894178683146,0.023147936217288473,0.3727626459143969
512_768_1536_1792,MSAVI,65535,37054,5789.0,42843.0,22692.0,best,0.5654077973601892,0.08833447775997559,0.3462577248798352
512_768_1792_2048,MSAVI,65535,36923,6625.0,43548.0,21987.0,best,0.563408865491722,0.1010910200656138,0.3355001144426642
512_768_2048_2304,MSAVI,65535,38731,3176.0,41907.0,23628.0,best,0.5909971770809491,0.04846265354390784,0.36054016937514305
512_768_4864_5120,MSAVI,65535,44280,4674.0,48954.0,16581.0,best,0.6756694895857176,0.07132066834515907,0.25300984206912336
512_768_5120_5376,MSAVI,65535,42588,1427.0,44015.0,21520.0,best,0.6498512245365072,0.021774624246585793,0.328374151216907
512_768_5376_5632,MSAVI,65535,38012,2118.0,40130.0,25405.0,best,0.5800259403372244,0.032318608377203024,0.3876554512855726
512_768_5632_5888,MSAVI,65535,38970,3098.0,42068.0,23467.0,best,0.5946440833142596,0.04727244983596551,0.35808346684977493
512_768_5888_6144,MSAVI,65535,39077,1400.0,40477.0,25058.0,best,0.5962767986572061,0.02136263065537499,0.3823605706874189
512_768_6144_6400,MSAVI,65535,39165,1841.0,41006.0,24529.0,best,0.5976195925841153,0.028091859311818113,0.37428854810406653
512_768_6400_6656,MSAVI,65535,38004,4974.0,42978.0,22557.0,best,0.5799038681620509,0.075898374914168,0.3441977569237812
512_768_6656_6912,MSAVI,65535,38487,2564.0,41051.0,24484.0,best,0.5872739757381552,0.039124132143129625,0.3736018921187152
512_768_6912_7168,MSAVI,65535,40286,2786.0,43072.0,22463.0,best,0.6147249561303121,0.04251163500419623,0.3427634088654917
768_1024_0_256,MSAVI,65535,40357,4123.0,44480.0,21055.0,best,0.6158083466849775,0.06291294728007935,0.3212787060349432
768_1024_512_768,MSAVI,65535,43652,9445.0,53097.0,12438.0,best,0.6660868238345922,0.1441214618142977,0.18979171435111009
768_1024_768_1024,MSAVI,65535,41172,5597.0,46769.0,18766.0,best,0.6282444495307851,0.08540474555580987,0.28635080491340503
768_1024_1024_1280,MSAVI,65535,42448,4306.0,46754.0,18781.0,best,0.6477149614709697,0.0657053482871748,0.2865796902418555
768_1024_1280_1536,MSAVI,65535,40200,2426.0,42626.0,22909.0,best,0.6134126802471962,0.03701838712138552,0.3495689326314183
768_1024_1536_1792,MSAVI,65535,41062,2333.0,43395.0,22140.0,best,0.6265659571221485,0.03559929808499275,0.3378347447928588
768_1024_1792_2048,MSAVI,65535,37214,7075.0,44289.0,21246.0,best,0.5678492408636606,0.10795757991912719,0.3241931792172122
768_1024_2048_2304,MSAVI,65535,38612,3382.0,41994.0,23541.0,best,0.5891813534752423,0.051606012054627295,0.35921263447013047
768_1024_2304_2560,MSAVI,65535,39643,2110.0,41753.0,23782.0,best,0.6049134050507362,0.03219653620202945,0.3628900587472343
768_1024_2560_2816,MSAVI,65535,41762,3101.0,44863.0,20672.0,best,0.6372472724498359,0.0473182269016556,0.3154345006485084
768_1024_2816_3072,MSAVI,65535,42289,1043.0,43332.0,22203.0,best,0.645288776989395,0.015915159838254367,0.33879606317235067
768_1024_3072_3328,MSAVI,65535,44613,4238.0,48851.0,16684.0,best,0.6807507438773175,0.06466773479819944,0.2545815213244831
768_1024_3328_3584,MSAVI,65535,45492,6182.0,51674.0,13861.0,best,0.6941634241245136,0.09433127336537728,0.2115053025101091
768_1024_3584_3840,MSAVI,65535,42315,6321.0,48636.0,16899.0,best,0.6456855115587091,0.09645227740901809,0.25786221103227286
768_1024_3840_4096,MSAVI,65535,40385,3148.0,43533.0,22002.0,best,0.616235599298085,0.04803540093080034,0.33572899977111464
768_1024_4096_4352,MSAVI,65535,43486,2880.0,46366.0,19169.0,best,0.6635538261997406,0.0439459830624857,0.2925001907377737
768_1024_4352_4608,MSAVI,65535,51556,4715.0,56271.0,9264.0,best,0.7866941329060807,0.07194628824292362,0.14135957885099565
768_1024_4608_4864,MSAVI,65535,48275,5161.0,53436.0,12099.0,best,0.7366292820630198,0.07875181200885023,0.18461890592813002
768_1024_4864_5120,MSAVI,65535,45374,1501.0,46875.0,18660.0,best,0.6923628595407034,0.022903791866941327,0.2847333485923552
768_1024_5120_5376,MSAVI,65535,50744,5951.0,56695.0,8840.0,best,0.7743038071259633,0.0908064393072404,0.13488975356679636
768_1024_5376_5632,MSAVI,65535,46306,1468.0,47774.0,17761.0,best,0.7065842679484245,0.022400244144350347,0.2710154879072251
768_1024_5632_5888,MSAVI,65535,42465,4644.0,47109.0,18426.0,best,0.6479743648432136,0.07086289768825818,0.28116273746852827
768_1024_5888_6144,MSAVI,65535,43979,2624.0,46603.0,18932.0,best,0.6710765239948119,0.040039673456931414,0.28888380254825663
768_1024_6144_6400,MSAVI,65535,46183,4030.0,50213.0,15322.0,best,0.7047074082551309,0.061493858243686576,0.23379873350118258
768_1024_6400_6656,MSAVI,65535,38691,2504.0,41195.0,24340.0,best,0.5903868162050813,0.03820859082932784,0.3714045929655909
768_1024_6656_6912,MSAVI,65535,40649,3906.0,44555.0,20980.0,best,0.6202639810788129,0.05960173952849623,0.3201342793926909
768_1024_6912_7168,MSAVI,65535,39630,2333.0,41963.0,23572.0,best,0.6047150377660792,0.03559929808499275,0.35968566414892805
1024_1280_0_256,MSAVI,65535,42396,825.0,43221.0,22314.0,best,0.6469214923323415,0.012588693064774548,0.34048981460288397
1024_1280_512_768,MSAVI,65533,42526,1376.0,43902.0,21631.0,best,0.6489249690995377,0.020997054918895825,0.3300779759815665
1024_1280_768_1024,MSAVI,65535,41296,2101.0,43397.0,22138.0,best,0.6301365682459754,0.03205920500495918,0.3378042267490654
1024_1280_1024_1280,MSAVI,65535,42970,3073.0,46043.0,19492.0,best,0.6556801709010452,0.046890974288548104,0.29742885481040665
1024_1280_1280_1536,MSAVI,65535,41384,9467.0,50851.0,14684.0,best,0.6314793621728847,0.144457160296025,0.22406347753109027
1024_1280_1536_1792,MSAVI,65535,40174,1650.0,41824.0,23711.0,best,0.6130159456778821,0.025177386129549097,0.36180666819256885
1024_1280_1792_2048,MSAVI,65535,38771,3911.0,42682.0,22853.0,best,0.591607537956817,0.05967803463797971,0.3487144274052033
1024_1280_2048_2304,MSAVI,65535,38961,4357.0,43318.0,22217.0,best,0.5945067521171893,0.06648355840390631,0.3390096894789044
1024_1280_2304_2560,MSAVI,65535,38366,3026.0,41392.0,24143.0,best,0.585427634088655,0.046173800259403375,0.36839856565194173
1024_1280_2560_2816,MSAVI,65535,42034,2046.0,44080.0,21455.0,best,0.6413977264057374,0.03121995880064088,0.32738231479362173
1024_1280_2816_3072,MSAVI,65535,42304,2082.0,44386.0,21149.0,best,0.6455176623178455,0.03176928358892195,0.32271305409323264
1024_1280_3072_3328,MSAVI,65535,44066,4592.0,48658.0,16877.0,best,0.6724040588998246,0.07006942854962997,0.2575265125505455
1024_1280_3328_3584,MSAVI,65535,39515,2489.0,42004.0,23531.0,best,0.6029602502479591,0.03797970550087739,0.3590600442511635
1024_1280_3584_3840,MSAVI,65535,43122,2292.0,45414.0,20121.0,best,0.6579995422293431,0.0349736781872282,0.3070267795834287
1024_1280_3840_4096,MSAVI,65535,40906,1884.0,42790.0,22745.0,best,0.6241855497062638,0.028747997253376057,0.3470664530403601
1024_1280_4096_4352,MSAVI,65535,42310,5621.0,47931.0,17604.0,best,0.6456092164492256,0.08577096208133059,0.2686198214694438
1024_1280_4352_4608,MSAVI,65535,42105,3766.0,45871.0,19664.0,best,0.6424811169604029,0.05746547646295872,0.3000534065766384
1024_1280_4608_4864,MSAVI,65535,43616,3363.0,46979.0,18556.0,best,0.6655374990463111,0.051316090638590064,0.2831464103150988
1024_1280_4864_5120,MSAVI,65535,44750,6796.0,51546.0,13989.0,best,0.6828412298771649,0.10370031280994889,0.21345845731288624
1024_1280_5120_5376,MSAVI,65535,43934,6667.0,50601.0,14934.0,best,0.6703898680094605,0.10173189898527504,0.22787823300526436
1024_1280_5376_5632,MSAVI,65535,44920,4296.0,49216.0,16319.0,best,0.6854352635996033,0.06555275806820783,0.2490119783321889
1024_1280_5632_5888,MSAVI,65535,45633,4369.0,50002.0,15533.0,best,0.6963149462119478,0.06666666666666667,0.2370183871213855
1024_1280_5888_6144,MSAVI,65535,47210,6421.0,53631.0,11904.0,best,0.7203784237430381,0.09797817959868772,0.1816433966582742
1024_1280_6144_6400,MSAVI,65535,43560,2428.0,45988.0,19547.0,best,0.6646829938200961,0.03704890516517891,0.29826810101472495
1024_1280_6400_6656,MSAVI,65535,42501,2908.0,45409.0,20126.0,best,0.6485236896314946,0.044373235675593196,0.3071030746929122
1024_1280_6656_6912,MSAVI,65535,43901,1324.0,45225.0,20310.0,best,0.6698863202868696,0.020202944991226063,0.30991073472190434
1024_1280_6912_7168,MSAVI,65535,41691,1265.0,42956.0,22579.0,best,0.6361638818951705,0.019302662699320974,0.3445334554055085
1024_1280_7168_7424,MSAVI,65535,39801,4111.0,43912.0,21623.0,best,0.6073243305104142,0.06272983901731899,0.3299458304722667
1024_1280_7424_7680,MSAVI,65535,38536,3063.0,41599.0,23936.0,best,0.5880216678110933,0.04673838406958114,0.36523994811932553
1024_1280_7680_7936,MSAVI,65535,39310,1667.0,40977.0,24558.0,best,0.5998321507591363,0.025436789501792935,0.3747310597390707
1024_1280_7936_8192,MSAVI,65535,36960,2760.0,39720.0,25815.0,best,0.5639734493018997,0.04211490043488213,0.3939116502632181
1024_1280_8192_8448,MSAVI,65535,37751,1953.0,39704.0,25831.0,best,0.5760433356221866,0.029800869764248113,0.39415579461356526
1024_1280_8448_8704,MSAVI,65535,39489,2545.0,42034.0,23501.0,best,0.602563515678645,0.038834210727092394,0.3586022735942626
