,patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
0,256_512_2560_2816,MSAVI,65536,33778,4278.0,38056.0,27480.0,best,0.515411376953125,0.065277099609375,0.4193115234375
1,256_512_2816_3072,MSAVI,65536,36756,10828.0,47584.0,17952.0,best,0.56085205078125,0.16522216796875,0.27392578125
2,256_512_3072_3328,MSAVI,65536,37704,4912.0,42616.0,22920.0,best,0.5753173828125,0.074951171875,0.3497314453125
3,256_512_3328_3584,MSAVI,65536,32763,2346.0,35109.0,30427.0,best,0.4999237060546875,0.035797119140625,0.4642791748046875
4,256_512_3584_3840,MSAVI,65536,32927,7043.0,39970.0,25566.0,best,0.5024261474609375,0.1074676513671875,0.390106201171875
5,256_512_3840_4096,MSAVI,65536,34432,4105.0,38537.0,26999.0,best,0.525390625,0.0626373291015625,0.4119720458984375
6,256_512_4096_4352,MSAVI,65410,34160,4631.0,38791.0,26619.0,best,0.5222443051521174,0.07079957193089742,0.4069561229169852
7,512_768_2304_2560,MSAVI,65536,32630,5794.0,38424.0,27112.0,best,0.497894287109375,0.088409423828125,0.4136962890625
8,512_768_2560_2816,MSAVI,65536,35486,3740.0,39226.0,26310.0,best,0.541473388671875,0.05706787109375,0.401458740234375
9,512_768_2816_3072,MSAVI,65536,39208,3071.0,42279.0,23257.0,best,0.5982666015625,0.0468597412109375,0.3548736572265625
10,512_768_3072_3328,MSAVI,65536,38057,4662.0,42719.0,22817.0,best,0.5807037353515625,0.071136474609375,0.3481597900390625
11,512_768_3328_3584,MSAVI,65536,37126,4913.0,42039.0,23497.0,best,0.566497802734375,0.0749664306640625,0.3585357666015625
12,512_768_3584_3840,MSAVI,65536,36151,5074.0,41225.0,24311.0,best,0.5516204833984375,0.077423095703125,0.3709564208984375
13,512_768_3840_4096,MSAVI,65536,40896,10232.0,51128.0,14408.0,best,0.6240234375,0.1561279296875,0.2198486328125
14,512_768_4096_4352,MSAVI,65536,37254,8328.0,45582.0,19954.0,best,0.568450927734375,0.1270751953125,0.304473876953125
15,512_768_4352_4608,MSAVI,65536,34635,6257.0,40892.0,24644.0,best,0.5284881591796875,0.0954742431640625,0.37603759765625
16,512_768_4608_4864,MSAVI,65536,36490,3776.0,40266.0,25270.0,best,0.556793212890625,0.0576171875,0.385589599609375
17,512_768_4864_5120,MSAVI,65485,36912,12109.0,49021.0,16464.0,best,0.5636710697106208,0.18491257539894632,0.2514163548904329
18,768_1024_2304_2560,MSAVI,65536,34185,11643.0,45828.0,19708.0,best,0.5216217041015625,0.1776580810546875,0.30072021484375
19,768_1024_2560_2816,MSAVI,65536,39593,9905.0,49498.0,16038.0,best,0.6041412353515625,0.1511383056640625,0.244720458984375
20,768_1024_2816_3072,MSAVI,65536,37190,9046.0,46236.0,19300.0,best,0.567474365234375,0.138031005859375,0.29449462890625
21,768_1024_3072_3328,MSAVI,65536,38464,3555.0,42019.0,23517.0,best,0.5869140625,0.0542449951171875,0.3588409423828125
22,768_1024_3328_3584,MSAVI,65536,36846,4701.0,41547.0,23989.0,best,0.562225341796875,0.0717315673828125,0.3660430908203125
23,768_1024_3584_3840,MSAVI,65536,37951,8090.0,46041.0,19495.0,best,0.5790863037109375,0.123443603515625,0.2974700927734375
24,768_1024_3840_4096,MSAVI,65536,38895,5258.0,44153.0,21383.0,best,0.5934906005859375,0.080230712890625,0.3262786865234375
25,768_1024_4096_4352,MSAVI,65536,39882,6374.0,46256.0,19280.0,best,0.608551025390625,0.097259521484375,0.294189453125
26,768_1024_4352_4608,MSAVI,65536,37723,4565.0,42288.0,23248.0,best,0.5756072998046875,0.0696563720703125,0.354736328125
27,768_1024_4608_4864,MSAVI,65536,42757,2284.0,45041.0,20495.0,best,0.6524200439453125,0.03485107421875,0.3127288818359375
28,768_1024_4864_5120,MSAVI,65536,43176,5668.0,48844.0,16692.0,best,0.6588134765625,0.08648681640625,0.25469970703125
29,768_1024_5120_5376,MSAVI,65536,37040,2901.0,39941.0,25595.0,best,0.565185546875,0.0442657470703125,0.3905487060546875
30,768_1024_5376_5632,MSAVI,65536,34117,3586.0,37703.0,27833.0,best,0.5205841064453125,0.054718017578125,0.4246978759765625
31,768_1024_5632_5888,MSAVI,65527,37609,2157.0,39766.0,25761.0,best,0.5739466174248783,0.03291772856990248,0.3931356540052192
32,1024_1280_2048_2304,MSAVI,65536,32622,10234.0,42856.0,22680.0,best,0.497772216796875,0.156158447265625,0.3460693359375
33,1024_1280_2304_2560,MSAVI,65536,38170,8162.0,46332.0,19204.0,best,0.582427978515625,0.124542236328125,0.29302978515625
34,1024_1280_2560_2816,MSAVI,65536,35558,5046.0,40604.0,24932.0,best,0.542572021484375,0.076995849609375,0.38043212890625
35,1024_1280_2816_3072,MSAVI,65536,36207,4937.0,41144.0,24392.0,best,0.5524749755859375,0.0753326416015625,0.3721923828125
36,1024_1280_3072_3328,MSAVI,65536,36266,11543.0,47809.0,17727.0,best,0.553375244140625,0.1761322021484375,0.2704925537109375
37,1024_1280_3328_3584,MSAVI,65536,32413,7389.0,39802.0,25734.0,best,0.4945831298828125,0.1127471923828125,0.392669677734375
38,1024_1280_3584_3840,MSAVI,65536,38519,6537.0,45056.0,20480.0,best,0.5877532958984375,0.0997467041015625,0.3125
39,1024_1280_3840_4096,MSAVI,65536,43822,9197.0,53019.0,12517.0,best,0.668670654296875,0.1403350830078125,0.1909942626953125
40,1024_1280_4096_4352,MSAVI,65536,40421,4438.0,44859.0,20677.0,best,0.6167755126953125,0.067718505859375,0.3155059814453125
41,1024_1280_4352_4608,MSAVI,65536,41533,5952.0,47485.0,18051.0,best,0.6337432861328125,0.0908203125,0.2754364013671875
42,1024_1280_4608_4864,MSAVI,65536,38687,3450.0,42137.0,23399.0,best,0.5903167724609375,0.052642822265625,0.3570404052734375
43,1024_1280_4864_5120,MSAVI,65536,39435,6575.0,46010.0,19526.0,best,0.6017303466796875,0.1003265380859375,0.297943115234375
44,1024_1280_5120_5376,MSAVI,65536,39462,4102.0,43564.0,21972.0,best,0.602142333984375,0.062591552734375,0.33526611328125
45,1024_1280_5376_5632,MSAVI,65536,39194,2053.0,41247.0,24289.0,best,0.598052978515625,0.0313262939453125,0.3706207275390625
46,1024_1280_5632_5888,MSAVI,65536,36580,5047.0,41627.0,23909.0,best,0.55816650390625,0.0770111083984375,0.3648223876953125
47,1024_1280_5888_6144,MSAVI,65536,37513,6721.0,44234.0,21302.0,best,0.5724029541015625,0.1025543212890625,0.325042724609375
48,1024_1280_6144_6400,MSAVI,65536,35947,5202.0,41149.0,24387.0,best,0.5485076904296875,0.079376220703125,0.3721160888671875
49,1024_1280_6400_6656,MSAVI,65461,36793,3204.0,39997.0,25464.0,best,0.5620598524312186,0.04894517346206138,0.38899497410672
50,1280_1536_1792_2048,MSAVI,65536,35838,3785.0,39623.0,25913.0,best,0.546844482421875,0.0577545166015625,0.3954010009765625
51,1280_1536_2048_2304,MSAVI,65536,33839,4937.0,38776.0,26760.0,best,0.5163421630859375,0.0753326416015625,0.4083251953125
52,1280_1536_2304_2560,MSAVI,65536,36894,5955.0,42849.0,22687.0,best,0.562957763671875,0.0908660888671875,0.3461761474609375
53,1280_1536_2560_2816,MSAVI,65536,38860,4035.0,42895.0,22641.0,best,0.59295654296875,0.0615692138671875,0.3454742431640625
54,1280_1536_2816_3072,MSAVI,65536,38861,5787.0,44648.0,20888.0,best,0.5929718017578125,0.0883026123046875,0.3187255859375
55,1280_1536_3072_3328,MSAVI,65536,38806,5157.0,43963.0,21573.0,best,0.592132568359375,0.0786895751953125,0.3291778564453125
56,1280_1536_3328_3584,MSAVI,65536,36402,8262.0,44664.0,20872.0,best,0.555450439453125,0.126068115234375,0.3184814453125
57,1280_1536_3584_3840,MSAVI,65536,33130,10789.0,43919.0,21617.0,best,0.505523681640625,0.1646270751953125,0.3298492431640625
58,1280_1536_3840_4096,MSAVI,65536,34015,11622.0,45637.0,19899.0,best,0.5190277099609375,0.177337646484375,0.3036346435546875
59,1280_1536_4096_4352,MSAVI,65536,36882,7358.0,44240.0,21296.0,best,0.562774658203125,0.112274169921875,0.324951171875
60,1280_1536_4352_4608,MSAVI,65536,38159,5495.0,43654.0,21882.0,best,0.5822601318359375,0.0838470458984375,0.333892822265625
61,1280_1536_4608_4864,MSAVI,65536,36504,5859.0,42363.0,23173.0,best,0.5570068359375,0.0894012451171875,0.3535919189453125
62,1280_1536_4864_5120,MSAVI,65536,34688,4340.0,39028.0,26508.0,best,0.529296875,0.06622314453125,0.40447998046875
63,1280_1536_5120_5376,MSAVI,65536,36949,4725.0,41674.0,23862.0,best,0.5637969970703125,0.0720977783203125,0.364105224609375
64,1280_1536_5376_5632,MSAVI,65536,38644,6728.0,45372.0,20164.0,best,0.58966064453125,0.1026611328125,0.30767822265625
65,1280_1536_5632_5888,MSAVI,65536,41454,5495.0,46949.0,18587.0,best,0.632537841796875,0.0838470458984375,0.2836151123046875
66,1280_1536_5888_6144,MSAVI,65536,39270,8898.0,48168.0,17368.0,best,0.599212646484375,0.135772705078125,0.2650146484375
67,1280_1536_6144_6400,MSAVI,65536,34380,4341.0,38721.0,26815.0,best,0.52459716796875,0.0662384033203125,0.4091644287109375
68,1280_1536_6400_6656,MSAVI,65536,37251,6734.0,43985.0,21551.0,best,0.5684051513671875,0.102752685546875,0.3288421630859375
69,1280_1536_6656_6912,MSAVI,65536,37093,6757.0,43850.0,21686.0,best,0.5659942626953125,0.1031036376953125,0.330902099609375
70,1280_1536_6912_7168,MSAVI,65536,35741,9065.0,44806.0,20730.0,best,0.5453643798828125,0.1383209228515625,0.316314697265625
71,1280_1536_7168_7424,MSAVI,65398,37948,6820.0,44768.0,20630.0,best,0.5802623933453622,0.10428453469525062,0.31545307195938715
72,1536_1792_1792_2048,MSAVI,65536,33891,7103.0,40994.0,24542.0,best,0.5171356201171875,0.1083831787109375,0.374481201171875
73,1536_1792_2048_2304,MSAVI,65536,35057,5903.0,40960.0,24576.0,best,0.5349273681640625,0.0900726318359375,0.375
74,1536_1792_2304_2560,MSAVI,65536,36013,3343.0,39356.0,26180.0,best,0.5495147705078125,0.0510101318359375,0.39947509765625
75,1536_1792_2560_2816,MSAVI,65536,39306,7093.0,46399.0,19137.0,best,0.599761962890625,0.1082305908203125,0.2920074462890625
76,1536_1792_2816_3072,MSAVI,65536,40682,6068.0,46750.0,18786.0,best,0.620758056640625,0.09259033203125,0.286651611328125
77,1536_1792_3072_3328,MSAVI,65536,39500,5976.0,45476.0,20060.0,best,0.60272216796875,0.0911865234375,0.30609130859375
78,1536_1792_3328_3584,MSAVI,65536,38933,10068.0,49001.0,16535.0,best,0.5940704345703125,0.15362548828125,0.2523040771484375
79,1536_1792_3584_3840,MSAVI,65536,37848,6328.0,44176.0,21360.0,best,0.5775146484375,0.0965576171875,0.325927734375
80,1536_1792_3840_4096,MSAVI,65536,35622,4665.0,40287.0,25249.0,best,0.543548583984375,0.0711822509765625,0.3852691650390625
81,1536_1792_4096_4352,MSAVI,65536,35952,3078.0,39030.0,26506.0,best,0.548583984375,0.046966552734375,0.404449462890625
82,1536_1792_4352_4608,MSAVI,65536,35417,5036.0,40453.0,25083.0,best,0.5404205322265625,0.07684326171875,0.3827362060546875
83,1536_1792_4608_4864,MSAVI,65536,38220,13552.0,51772.0,13764.0,best,0.58319091796875,0.206787109375,0.21002197265625
84,1536_1792_4864_5120,MSAVI,65536,33630,4892.0,38522.0,27014.0,best,0.513153076171875,0.07464599609375,0.412200927734375
85,1536_1792_5120_5376,MSAVI,65536,34214,10907.0,45121.0,20415.0,best,0.522064208984375,0.1664276123046875,0.3115081787109375
86,1536_1792_5376_5632,MSAVI,65536,31496,7433.0,38929.0,26607.0,best,0.4805908203125,0.1134185791015625,0.4059906005859375
87,1536_1792_5632_5888,MSAVI,65536,41887,5763.0,47650.0,17886.0,best,0.6391448974609375,0.0879364013671875,0.272918701171875
88,1536_1792_5888_6144,MSAVI,65536,38002,6162.0,44164.0,21372.0,best,0.579864501953125,0.094024658203125,0.32611083984375
89,1536_1792_6144_6400,MSAVI,65536,34308,6470.0,40778.0,24758.0,best,0.52349853515625,0.098724365234375,0.377777099609375
90,1536_1792_6400_6656,MSAVI,65536,36189,9401.0,45590.0,19946.0,best,0.5522003173828125,0.1434478759765625,0.304351806640625
91,1536_1792_6656_6912,MSAVI,65536,39713,6945.0,46658.0,18878.0,best,0.6059722900390625,0.1059722900390625,0.288055419921875
