patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
0_256_768_1024,MSAVI,65535,36228,8149.0,44377.0,21158.0,best,0.552803845273518,0.12434576943617914,0.3228503852903029
0_256_1792_2048,MSAVI,65535,36860,15921.0,52781.0,12754.0,best,0.5624475471122301,0.24293888761730373,0.19461356527046617
256_512_768_1024,MSAVI,65535,40506,14272.0,54778.0,10757.0,best,0.6180819409475853,0.21777676050965133,0.1641412985427634
256_512_1024_1280,MSAVI,65535,37875,8820.0,46695.0,18840.0,best,0.5779354543373769,0.13458457312886243,0.28747997253376056
256_512_1280_1536,MSAVI,65535,34705,4051.0,38756.0,26779.0,best,0.5295643549248493,0.06181429770351721,0.40862134737163347
256_512_1536_1792,MSAVI,65535,35324,15272.0,50596.0,14939.0,best,0.5390096894789044,0.23303578240634776,0.22795452811474784
256_512_1792_2048,MSAVI,65535,32175,2195.0,34370.0,31165.0,best,0.49095902952620735,0.033493553063248645,0.47554741741054396
256_512_2048_2304,MSAVI,65535,37278,10288.0,47566.0,17969.0,best,0.5688258182650492,0.15698481727321278,0.274189364461738
256_512_2304_2560,MSAVI,65535,37459,10847.0,48306.0,17229.0,best,0.5715877012283512,0.16551461051346608,0.26289768825818266
512_768_512_768,MSAVI,65535,38265,13455.0,51720.0,13815.0,best,0.5838864728770886,0.20531013962005035,0.21080338750286107
512_768_768_1024,MSAVI,65535,40246,6164.0,46410.0,19125.0,best,0.6141145952544442,0.09405661097123674,0.2918287937743191
512_768_1024_1280,MSAVI,65535,38957,9265.0,48222.0,17313.0,best,0.5944457160296025,0.14137483787289234,0.26417944609750516
512_768_1280_1536,MSAVI,65535,36555,9887.0,46442.0,19093.0,best,0.5577935454337377,0.1508659494926375,0.2913405050736248
512_768_1536_1792,MSAVI,65535,37267,11698.0,48965.0,16570.0,best,0.5686579690241855,0.17850003814755475,0.2528419928282597
512_768_1792_2048,MSAVI,65535,35792,15287.0,51079.0,14456.0,best,0.5461509117265583,0.2332646677347982,0.22058442053864347
512_768_2048_2304,MSAVI,65535,35987,12574.0,48561.0,16974.0,best,0.5491264209964142,0.19186694132906082,0.2590066376745251
512_768_2304_2560,MSAVI,65535,42030,14067.0,56097.0,9438.0,best,0.6413366903181507,0.21464866102082855,0.14401464866102082
512_768_2560_2816,MSAVI,65535,40055,4344.0,44399.0,21136.0,best,0.6112001220721752,0.06628519111924926,0.3225146868085756
512_768_2816_3072,MSAVI,65535,41020,3038.0,44058.0,21477.0,best,0.6259250782024872,0.04635690852216373,0.32771801327534905
512_768_3072_3328,MSAVI,65535,38096,15249.0,53345.0,12190.0,best,0.5813076981765469,0.23268482490272374,0.1860074769207294
512_768_3328_3584,MSAVI,65535,43982,6628.0,50610.0,14925.0,best,0.671122301060502,0.10113679713130388,0.2277409018081941
512_768_3584_3840,MSAVI,65535,40733,12451.0,53184.0,12351.0,best,0.6215457389181354,0.18999008163576714,0.1884641794460975
512_768_3840_4096,MSAVI,65535,38222,10630.0,48852.0,16683.0,best,0.5832303349355307,0.16220340276188297,0.2545662623025864
512_768_4096_4352,MSAVI,65535,39675,4688.0,44363.0,21172.0,best,0.6054016937514305,0.07153429465171282,0.32306401159685666
512_768_4352_4608,MSAVI,65535,44479,12475.0,56954.0,8581.0,best,0.6787060349431602,0.19035629816128785,0.130937666895552
512_768_4608_4864,MSAVI,65535,40566,3359.0,43925.0,21610.0,best,0.6189974822613871,0.05125505455100328,0.32974746318760967
768_1024_512_768,MSAVI,65535,39336,8575.0,47911.0,17624.0,best,0.6002288853284504,0.13084611276417182,0.2689250019073777
768_1024_768_1024,MSAVI,65535,39422,7994.0,47416.0,18119.0,best,0.6015411612115663,0.12198062104219119,0.2764782177462425
768_1024_1024_1280,MSAVI,65535,40881,6692.0,47573.0,17962.0,best,0.6238040741588464,0.10211337453269245,0.27408255130846115
768_1024_1280_1536,MSAVI,65533,39039,9761.0,48800.0,16733.0,best,0.595715135885737,0.14894785833091725,0.2553370057833458
768_1024_1536_1792,MSAVI,65535,38745,7631.0,46376.0,19159.0,best,0.5912108033875029,0.1164415960936904,0.29234760051880676
768_1024_1792_2048,MSAVI,65535,36266,10253.0,46519.0,19016.0,best,0.5533836881055925,0.1564507515068284,0.2901655603875792
768_1024_2048_2304,MSAVI,65535,38691,12039.0,50730.0,14805.0,best,0.5903868162050813,0.18370336461432824,0.22590981918059053
768_1024_2304_2560,MSAVI,65535,36973,9705.0,46678.0,18857.0,best,0.5641718165865568,0.14808880750743877,0.2877393759060044
768_1024_2560_2816,MSAVI,65535,38982,7685.0,46667.0,18868.0,best,0.5948271915770199,0.117265583276112,0.28790722514686806
768_1024_2816_3072,MSAVI,65535,37408,7608.0,45016.0,20519.0,best,0.5708094911116197,0.11609063859006638,0.3130998702983139
768_1024_3072_3328,MSAVI,65535,32728,2271.0,34999.0,30536.0,best,0.4993972686350805,0.034653238727397576,0.46594949263752194
